"","","","t
p
ahghug; gz;l ,dk;;","",""
"","","","","","t
p
Nrl tpahghug;"
",y.","vr;.v];.","vr;.v];.","","t
p
tuzk;","gz;l mwtPL"
"","jiyg;G","FwpaPL","","",""
"1","03.05","0305.54.10","","nej;jypfs;","fp. fpuhk; xd;Wf;F &gh 1.00"
"2","","0305.52.00","","cyh;j;jpa kPd;","fp. fpuhk; xd;Wf;F &gh 52.00"
"","","0305.53.00","","",""
"","","0305.54.90","","",""
"","","0305.59.30","","",""
"","","0305.59.90","","",""
"3.","07.01","0701.90","","gpw- cUisf; fpoq;Ffs;","fp. fpuhk; xd;Wf;F &gh 50.00"
"4.","07.13","0713.31.19","","gpw- ghrpg;gaW","fp. fpuhk; xd;Wf;F &gh 40.00"
"5.","08.04","0804.50.50","","kq;F];jhd; - Gjpait","fp. fpuhk; xd;Wf;F &gh 200.00"
"","","0804.50.60","","kq;F];jhd; - fha;e;j","fp. fpuhk; xd;Wf;F &gh 200.00"
"6.","08.05","0805.10.20","","Njhlk;goq;fs;  - fha;e;j","fp. fpuhk; xd;Wf;F &gh 200.00"
"7.","08.08","0808.30","","gpau;]; goq;fs;","fpuhk; xd;Wf;F &gh 175.00"
"8.","08.09","0809.29","","gpw- nrwp goq;fs;","fp. fpuhk; xd;Wf;F &gh 250.00"
"9.","","0809.40","","Ke;jpupif tw;wYk; rpNyhRk;","fp. fpuhk; xd;Wf;F &gh 200.00"
"10.","08.10","0810.50","","fptp gok;","fp. fpuhk; xd;Wf;F &gh 175.00"
"11.","","0810.90.90","","gpw","fp. fpuhk; xd;Wf;F &gh 200.00"
