"","SECTION","","PROVISION"
"","18. Section  155","-","Improper  use of  warning"
"","","","instruments"
"","19. Section 155A","-","Excessive emission of"
"","","","smoke"
"5","","",""
"","20. Section  156","-","Riding or permitting to ride"
"","","","on running boards &c. of"
"","","","motor vehicles"
"","21. Section  157","-","Restriction on the number"
"10","","",""
"","","","of person in front seats of"
"","","","motor cars"
"","22. Section 157A","","- Non-use of  seat belts"
"","23. Section  158","-","Failure to  wear protective"
"","","","helmets when driving"
"15","24. Section  159","-","Prohibition  to  distribute"
"","","","advertisements from a"
"","","","vehicle in motion"
"","25. Section  160","-","Excessive use of noise from"
"","","","a  vehicle"
"","26. Section  162","-","Failure to obey directions"
"20","","",""
"","","","and signals of a police"
"","","","officers &c."
"","27. Section  164","-","Non-compliance with"
"","","","traffic  signs"
"","28. Section  165","-","Precautions to be taken"
"25","","",""
"","","","when fuel is discharged"
"","","","into the tank"
"","29. Section  166","-","Not to halt or park a motor"
"","","","vehicle on a road"
