"","","SECTION","","PROVISION"
"5","","","",""
"","1.","Section  21,22,23,24,","",""
"","","24A","-","Identification  plates"
"","2.","Section  38","-","Revenue Licence to be"
"","","","","displayed on motor"
"10","","","","vehicles and produced"
"","","","","when required"
"","3.","Section  45","-","Prohibition to use a"
"","","","","motor vehicle in"
"","","","","contravention of revenue"
"15","","","","Licence"
"","4.","Section  99","-","Prohibition to drive or use"
"","","","","a vehicle without an"
"","","","","insurance cover"
"","5.","Section  123","-","Prohibition to drive"
"20","","","","without a Driving"
"","","","","Licence"
"","","","-","Prohibition to employ a"
"","","","","person without a Driving"
"","","","","Licence to drive a motor"
"25","","","","vehicle"
"","6.","Section  123","-","Prohibition to drive under"
"","","","","the stipulated age"
