"Eastern  Provincial  Council
Head
321","","","","",""
"Programme  01","Operational  Activities","","16,511,515,000","—",""
"","Programme  02  Development  Activities","","—","4,732,050,000",""
"Ministry  of  National  Dialogue","","","","",""
"Recurrent","","454,785,000","","",""
"Capital","","336,030,000","","",""
"Made  up  as  follows  :-","","","","",""
"Minister  of  National  Dialogue
Head
157","","","","",""
"Programme  01","Operational  Activities","","354,355,000","291,380,000",""
"Head
236","Department  of  Official  Languages","","","",""
"Programme  01","Operational  Activities","","100,430,000","44,650,000",""
"","Ministry  of  Public  Enterprise  Development","","","",""
"Recurrent","","287,330,000","","","Appropriation (Amendment) Act, No. 23 of 2016"
"Capital","","73,900,000","","",""
"Made  up  as  follows  :-","","","","",""
"Head
158","Minister  of  Public  Enterprise  Development","","","",""
"Programme  01","Operational  Activities","","210,330,000","21,900,000",""
"Programme  02","Development  Activities","","77,000,000","52,000,000",""
"","Ministry  of  Tourism  Development  and  Christian  Religious  Affairs","","","",""
"Recurrent","","128,800,000","","",""
"Capital","","34,000,000","","",""
"Made  up  as  follows  :-","","","","",""
"Head
159","Minister  of  Tourism  Development  and  Christian  Religious  Affairs","","","",""
"Programme  01","Operational  Activities","","76,900,000","9,900,000","23"
