"Head","210","Department  of  Information","","","","",""
"","","Programme  01","Operational  Activities","","221,000,000","18,000,000",""
"Head","211","Department  of  Government  Printer","","","","",""
"","","Programme  01","Operational  Activities","","1,904,000,000","98,000,000",""
"","","Ministry  of  Housing  and  Construction","","","","",""
"","","Recurrent","","732,300,000","","",""
"","","Capital","","2,091,100,000","","",""
"Made  up  as  follows  :-","","","","","","",""
"Head","123","Minister  of  Housing  and  Construction","","","","",""
"","","Programme  01","Operational  Activities","","243,625,000","8,750,000",""
"","","Programme  02","Development  Activities","","108,000,000","2,009,000,000",""
"Head","309","Department  of  Buildings","","","","","Appropriation (Amendment) Act, No. 23 of 2016"
"","","Programme  01","Operational  Activities","","103,490,000","12,800,000",""
"","","Programme  02","Development  Activities","","186,550,000","24,700,000",""
"Head","310","Government  Factory","","","","",""
"","","Programme  01","Operational  Activities","","47,335,000","19,150,000",""
"","","Programme  02","Development  Activities","","43,300,000","16,700,000",""
"","","Ministry  of  Social  Empowerment  and  Welfare","","","","",""
"","","Recurrent","","68,202,192,000","","",""
"","","Capital","","198,690,000","","",""
"Made  up  as  follows  :-","","","","","","",""
"Head","124","","Minister  of  Social  Empowerment  and  Welfare","","","",""
"","","Programme  01","Operational  Activities","","608,580,000","48,220,000",""
"","","Programme  02","Development  Activities","","11,158,132,000","56,390,000","15"
