"","Head 1 - 22        Special Spending Units","","","",""
"","","Recurrent","9,380,725,000","",""
"","","Capital","1,851,200,000","",""
"","Made  up  as  follows  :-","","","",""
"Head","1","His  Excellency  the  President","","",""
"","","Programme  01","Operational  Activities","1,748,675,000","443,400,000"
"","","Programme  02","Development  Activities","—","200,000,000"
"Head","2","Office  of  the  Prime  Minister","","",""
"","","Programme  01","Operational  Activities","315,100,000","171,100,000"
"Head","4","Judges  of  the  Superior  Courts","","",""
"","","Programme  01","Operational  Activities","105,000,000","43,600,000"
"Head","5","Office  of  the  Cabinet  of  Ministers","","",""
"","","Programme  01","Operational  Activitie","68,350,000","14,850,000"
"Head","6","Public  Service  Commission","","",""
"","","Programme  01","Operational  Activities","140,700,000","185,150,000"
"Head","7","Judicial  Service  Commission","","",""
"","","Programme  01","Operational  Activities","41,250,000","450,000"
"Head","8","National  Police  Commission","","",""
"","","Programme  01","Operational  Activities","43,350,000","850,000"
