"YS¾I  220","","wdhq¾fõo  fomd¾;fïka;=j","","",""
"","","jevigyk  01  fufyhqï  jevigyk","","116,200,000","10,700,000"
"","","jevigyk  02  ixj¾Ok  jevigyk","","1,240,250,000","640,300,000"
"","","úfoaY  lghq;=  wud;HdxYh","","",""
"","","mqkrdj¾;k","9,956,950,000","",""
"","","uQ,Ok","821,600,000","",""
"","","my;  mßÈ  úhoï  ieliS  we;  :—","","",""
"YS¾I 112","","úfoaY  lghq;=  wud;Hjrhd","","",""
"","","jevigyk  01  fufyhqï  jevigyk","","141,550,000","17,800,000"
"","","jevigyk  02  ixj¾Ok  jevigyk","","9,815,400,000","803,800,000"
"","","m%jdyk  yd  isú,a  .=jkafiajd  wud;HdxYh","","",""
"","","mqkrdj¾;k","18,136,737,000","",""
"","","uQ,Ok","24,000,000,000","",""
"","","my;  mßÈ  úhoï  ieliS  we;  :—","","",""
"YS¾I 114","","m%jdyk  yd  isú,a  .=jkafiajd  wud;Hjrhd","","",""
"","","jevigyk  01  fufyhqï  jevigyk","","271,100,000","13,300,000"
"","","jevigyk  02  ixj¾Ok  jevigyk","","606,000,000","9,580,000,000"
"YS¾I 306","Y%","S  ,xld  ÿïßh  fomd¾;fïka;=j","","",""
"","","jevigyk  02  ixj¾Ok  jevigyk","","15,368,037,000","13,349,700,000"
"YS¾I 307","","fudag¾  r:  m%jdyk  fomd¾;fïka;=j","","",""
"","","jevigyk  02    ixj¾Ok  jevigyk","","1,891,600,000","1,057,000,000"
