"","Head","Unit/Ministry/Department","Provision  of  the  Constitution","Expenditure","Recurrent","Capital","Total","52"
"","No.","or  Institution  by  whom","and  Law  under  which","Programme","Expenditure","Expenditure","Expenditure",""
"","","expenditure  is  incurred","expenditure  is  authorized","","Rs.","Rs.","Rs.",""
"","249","Department  of  Treasury","Foreign  Loans  Act,","","Programme  01-        1,057,000,000,000 1,521,000,000,000","","2,578,000,000,000",""
"","","Operations","No.  29  of  1957","Operational","","","",""
"","","","(Section  2  paragraphs  (a)","Activities","","","",""
"","","","and  (c)),  Local  Treasury  Bills","","","","",""
"5","","","Ordinance  (Chapter  417)","","","","",""
"","","","Active  Liability  Management","","","","",""
"","","","Act,  No.  8  of  2018","","","","",""
"","253","Department  of  Pensions","Widows’  and  Orphans’  Pension","Programme  01-","45,000,000,000","—","45,000,000,000",""
"","","","Fund  Ordinance  (Chapter  431),","Operational","","","",""
"10","","","Widowers’  and","Activities","","","","Appropriation"
"","","","Orphans’  Pensions  Act,  No.  24","","","","",""
"","","","of  1983,  Widows’  and","","","","",""
"","","","Orphans’  Pension  Scheme","","","","",""
"","","","(Armed  Forces)  Act,  No.  18","","","","",""
"15","","","of  1970,  School","","","","",""
"","","","Teachers’  Pensions  Act","","","","",""
"","","","(Chapter  432)","","","","",""
