"","Head
282","Department  of  Irrigation","",""
"","","Programme  01
Operational  Activities","742,000,000","40,000,000"
"","","Programme  02
Development  Activities","2,501,000,000","9,548,000,000"
"","","State  Ministry  of  Canals  and  Common  Infrastructure","",""
"5","","Development  in    Settlements    in  Mahaweli  Zones","",""
"","","Recurrent
2,965,000,000","",""
"","","Capital
2,995,000,000","",""
"","Made  up  as  follows  :-","","",""
"","Head    428","State  Minister  of  Canals  and  Common  Infrastructure","",""
"10","","Development  in    Settlements    in  Mahaweli  Zones","",""
"","","Programme  01
Operational  Activities","65,000,000","4,000,000"
"","","Programme  02
Development  Activities","2,900,000,000","2,991,000,000"
"","","State  Ministry  of  Tanks,  Reservoirs  and  Irrigation","",""
"","","Development  Related  to  Rural  Paddy  Fields","",""
"15","","Recurrent
          77,000,000","",""
"","","Capital
1,000,000,000","",""
"","Made  up  as  follows  :-","","",""
"","Head
429","State  Minister  of    Tanks,  Reservoirs  and  Irrigation","",""
"","","Development  Related  to  Rural  Paddy  Fields","",""
"20","","Programme  01
Operational  Activities","77,000,000","7,000,000"
"","","Programme  02
Development  Activities","-","993,000,000"
