"","wfkl=;a jdyk"" ndysr úÿ,sn, m%Njhlg fmakqjla u.ska wdfrdamKh lsÍfï",""
"","yelshdj yer",""
"","iafÜIka je.ka iy f¾isx ld¾ we;=¿j fudag¾ ld¾ yer is,skav¾ Odß;d-",""
"","jh >k fi'ó 1""000 fkdblaujk  jdyk(",""
"8703.50.13","jir ;=klg jvd fkdmer‚ wjux.,  r:","ksoyia"
"8703.50.14","jir ;=klg jvd mer‚ wjux.,  r:","ksoyia"
"8703.50.15","jir ;=klg jvd fkdmer‚ ;%Sù,a  r:","ksoyia"
"8703.50.16","jir ;=klg jvd mer‚ ;%Sù,a  r:","ksoyia"
"8703.50.18","wfkl=;a wjqreÿ 3 lg jvd fkdmer‚","ksoyia"
"8703.50.19","wfkl=;a"" wjqreÿ 3 lg jvd fkdmer‚","ksoyia"
"","wfkl=;a"" wjqreÿ 3 lg jvd mer‚",""
"8703.50.23","iafÜIka je.ka iy f¾isx ld¾ we;=¿j is,skav¾ Odß;djh >k fi'ó","ksoyia"
"","1""000 fkdblaujk  jdyk(",""
"8703.50.24","is,skav¾ Odß;djh >k fi'ñ' 300 fkdblaujk lafjdâßla ihsl,a""  jir","ksoyia"
"","03 lg jvd fkdmer‚",""
