"","Ministry  of  Re-settlement","","",""
"","Recurrent","522,810,000","",""
"","Capital","2,111,430,000","",""
"Made  up  as  follows :—","","","",""
"Head","145 Minister  of  Re-settlement","","",""
"","Programme  01
Operational  Activities","","466,050,000","107,140,000"
"","Programme  02
Development  Activities","","56,760,000","2,004,290,000"
"","Ministry  of  Disaster  Relief  Services","","",""
"","Recurrent","466,527,000","",""
"","Capital","403,038,000","",""
"Made  up  as  follows :—","","","","Appropriation Act, No. 47 of 2006"
"Head","146 Minister  of  Disaster  Relief  Services","","",""
"","Programme  01
Operational  Activities","","50,509,000","382,750,000"
"","Programme  02
Development  Activities","","416,018,000","20,288,000"
"","Ministry  of  Home  Affairs","","",""
"","Recurrent","6,782,860,000","",""
"","Capital","2,599,250,000","",""
"Made  up  as  follows :—","","","",""
"Head","147 Minister  of  Home  Affairs","","",""
"","Programme  01
Operational  Activities","","80,860,000","33
99,250,000"
