"","Made  up  as  follows :—","","","",""
"Head","","125 Minister  of  Housing  and  Construction","","",""
"","","Programme  01","Operational  Activities","119,465,000","12,450,000"
"","","Programme  02","Development  Activities","36,000,000","1,354,665,000"
"Head","309","Department  of  Buildings","","",""
"","","Programme  01","Operational  Activities","44,615,000","20,305,000"
"","","Programme  02","Development  Activities","106,209,000","23,125,000"
"Head","","310 Government  Factory","","",""
"","","Programme  01","Operational  Activities","22,273,000","20,005,000"
"","","Programme  02","Development  Activities","17,220,000","26,500,000"
