"Made  up  as  follows :—","","","",""
"Head","112 Minister  of  Foreign  Affairs","","",""
"","Programme  01
Operational  Activities","","59,166,000","2,700,000"
"","Programme  02
Development  Activities","","4,703,520,000","1,447,300,000"
"","Ministry  of    Ports  &  Aviation","","",""
"","Recurrent","182,575,000","",""
"","Capital","8,960,970,000","",""
"Made  up  as  follows :—","","","",""
"Head","113 Minister  of    Ports  &  Aviation","","",""
"","Programme  01
Operational  Activities","","182,575,000","1,530,970,000"
"","Programme  02
Development  Activities","","—","7,430,000,000"
"","Ministry  of  Railways  and  Transport","","",""
"","Recurrent","12,805,474,000","",""
"","Capital","17,991,461,000","",""
"Made  up  as  follows :—","","","",""
"Head","114 Minister  of  Railways  and  Transport","","",""
"","Programme  01
Operational  Activities","","78,893,000","10,650,000"
"","Programme  02
Development  Activities","","4,236,000,000","3,341,500,000"
