"1 1","Public  Sevice  Commission","01201","Advances  to  Public  Officers","5,000,000","2,460,000","30,000,000","—"
"1 2","Judicial  Service  Commission","01301","Advances  to  Public  Officers","3,000,000","1,140,000","20,000,000","—"
"1 3","National  Police  Commission","01401","Advances  to  Public  Officers","1,000,000","456,000","15,000,000","—"
"1 4","Administrative  Appeals","01501","Advances  to  Public  Officers","300,000","18,000","3,000,000",""
"","Tribunal","","","","","",""
"1 5","Commission  to  investigate","01601","Advances  to  Public  Officers","5,000,000","2,340,000","30,000,000","—"
"","Allegations  of    Bribery","","","","","",""
"","or  Corruption","","","","","",""
"1 6","Commission  to  investigate","01602","Advancing    monies  to  be  used","3,000,000","800,000","5,300,000",""
"","Allegations  of  Bribery  or","","in  bribery  detection  as  bribes","","","",""
"","Corruption","","","","","",""
"1 7","Department  of  Elections","01701","Advances  to  Public  Officers","17,000,000","6,420,000","90,000,000","—"
"1 8","Auditor-General","01801","Advances  to  Public  Officers","40,000,000","30,360,000","400,000,000","—"
"1 9","Office  of  the  Parliamentary","01901","Advances  to  Public  Officers","1,000,000","300,000","12,000,000","—"
"","Commissioner","","","","","",""
"","for  Administration","","","","","",""
"20","Office  of  Finance","02001","Advances  to  Public  Officers","2,000,000","840,000","15,000,000","—"
"","Commission","","","","","",""
"2 1","National  Education","02101","Advances  to  Public  Officers","1,000,000","420,000","8,000,000","—"
"","Commission","","","","","",""
"2 2","Minister  of  Religious","10101","Advances  to  Public  Officers","3,500,000","1,140,000","17,000,000","—"
"","Affairs","","","","","",""
"2 3","Minister  of  Finance  and","10201","Advances  to  Public  Officers","12,000,000","4,320,000","80,000,000","—"
"","Planning","","","","","",""
"2 4","Minister  of  Defence,  Public","10301","Advances  to  Public  Officers","42,000,000","17,880,000","150,000,000","—"
"","Security,  Law  and  Order","","","","","",""
"2 5","Minister  of  Plan","10401","Advances  to  Public  Officers","3,000,000","700,000","13,000,000","—"
"","Implementation","","","","","",""
