"Made  up  as  follows :—","","","","",""
"Head","","142 Minister  of  Cultural  and  National  Heritage","","",""
"","","Programme  01","Operational  Activities","14,950,000","3,000,000"
"","","Programme  02","Development  Activities","433,416,000","409,920,000"
"Head","206","Department  of  Cultural  Affairs","","",""
"","","Programme  01","Operational  Activities","51,155,000","6,428,000"
"","","Programme  02","Development  Activities","158,528,000","13,078,000"
"Head","207","Department  of  Archaeology","","",""
"","","Programme  01","Operational  Activities","37,275,000","11,880,000"
"","","Programme  02","Development  Activities","267,250,000","63,400,000"
"Head","208","Department  of  National  Museums","","",""
"","","Programme  01","Operational  Activities","13,135,000","1,250,000"
"","","Programme  02","Development  Activities","58,530,000","26,050,000"
"Head","209","Department  of  National  Archives","","",""
"","","Programme  01","Operational  Activities","14,812,000","5,760,000"
"","","Programme  02","Development  Activities","24,895,000","61,840,000"
