"Head","248","Department  of  Excise","","",""
"","","Programme  01","Operational  Activities","366,376,000","46,900,000"
"Head","249","Department  of  Treasury  Operations","","",""
"","","Programme  01","Operational  Activities","3,096,580,000","969,985,000"
"","","Programme  02","Development  Activities","—","17,121,000,000"
"Head","250","Department  of  State  Accounts","","",""
"","","Programme  01","Operational  Activities","29,102,000","4,445,000"
"Head","251","Department  of  Valuation","","",""
"","","Programme  01","Operational  Activities","132,475,000","33,575,000"
"Head","252","Department  of  Census  &  Statistics","","",""
"","","Programme  01","Operational  Activities","443,963,000","21,940,000"
