"wkq","rg","rfgys","jHjydr","jHjydr","úksuh"
"wxlh","","ixfla;h","u
o,a","u
o,a","m
udKhka"
"","","","","ixfla;h","^remsh,a&"
"1'","TiafÜ%,shdj","A U","fvd,¾","A U D","126.3338"
"2'","nyf¾ka","B H","äkd¾","B H D","484.2335"
"3'","nx.a,dfoaYh","B D","gld","B D T","2.1491"
"4'","n
i
,","B R","n%iS,a ßh,a","B R L","44.6278"
"5'","nDDkdhs","B N","nDDkdhs fvd,¾","B N D","135.0071"
"6'","lekvdj","C A","lefkaähka fvd,¾","C A D","138.7312"
"7'","Ökh","C N","frkañkaì hqjdka","C N Y","26.1668"
"8'","Ökh","C N","´*afIda","C N H","26.1878"
"9'","fpfldiaf,djelshdj","C Z","fldrekd","C Z K","7.9949"
"10'","fvkaud¾lh","D K","fl%dak¾","D K K","27.3125"
"11'","Bðma;=j","E G","mjqï","E G P","11.3253"
"12'","hQfrda l,dmh","","h
frda","E U R","204.0875"
"13'",">dkd","G H","fiaä","G H S","31.3276"
"14'","fydxfldx","H K","fvd,¾","H K D","23.3915"
"15'","yxf.aßhdj","H U","f*dßkaÜ","H U F","0.6194"
"16'","bkaÈhdj","I N","remsh,a","I N R","2.5870"
"17'","bkaÿkSishdj","I D","remshd","I D R","0.0131"
"18'","brdkh","I R","ßhd,a","I R R","0.0043"
"19'","cmdkh","J P","fhka","J P Y","1.6669"
"20'","fcda¾odkh","J O","äkd¾","J O D","257.4941"
"21'","ol=Kq fldßhdj","K R","fjdka","K R W","0.1557"
"22'","l=fõÜ","KW","äkd¾","K W D","601.0314"
"23'","ueldjq","M O","megld","M O P","22.6984"
"24'","u,hdishdj","M Y","ßkaðÜ","M Y R","44.0814"
"25'","ud,Èjhsk","MV","re*shd","M V R","11.8088"
"26'","u
reish","M U","remsh,a","M U R","4.9963"
"27'","ñhkaud¾","MM","l
hdÜ","MMK","0.1206"
"28'","fkamd,h","N P","remsh,a","N P R","1.6108"
"29'","kjiS,ka;h","N Z","fvd,¾","N Z D","120.8021"
"30'","khsÔßhdj","N G","khsrd","N G N","0.5958"
"31'","fkda¾fõ","N O","fl%daka","N O K","20.1954"
"32'","´udka","O M","ßhd,a","O M R","474.1965"
"33'","mlsia:dkh","P K","remsh,a","P K R","1.1832"
"34'","memqjd ksõ.skshdj","P G","l
kd","P G K","53.5823"
"35'","m
,
m
kh","P H","fmafida","P H P","3.6073"
"36'","fmda,ka;h","P L","i
a
f,dá","P LN","47.6095"
"37'","lgd¾","Q A","ßhd,a","Q A R","50.1375"
"38'","reishdj","RU","rEn,a","RUB","2.9101"
"39'","fi!È wrdìhdj","S A","ßhd,a","S A R","48.6810"
