"இல.","","","","சசலவினம்","சசலவினம்"
"","","","","ரூ்பா","ரூ்பா"
"அவமவு வருமாறு :-","","","","",""
"தவலபபு","149","","வகதசதாழில மறறும் சதாழிலமுயறசியாண்வம அ்பிவிருததி அவமச்சர்","",""
"","","நிகழ்ச்சிததிட்டம் 01","சசயலமுவறச் சசயற்பாடுகள்","1,392,700,000","143,800,000"
"","","நிகழ்ச்சிததிட்டம் 02","அ்பிவிருததிச் சசயற்பாடுகள்","3,069,000,000","8,926,500,000"
"தவலபபு","303","சநசவுக் வகதசதாழில திவணக்களம்","","",""
"","","நிகழ்ச்சிததிட்டம் 02","அ்பிவிருததிச் சசயற்பாடுகள்","343,300,000","67,700,000"
"","","","க்டறசறாழில, நீாியல வளஙகள் மறறும் க்டல வளஙகள் அவமச்சு","",""
"","","மீண்டுவரும்","6,213,000,000","",""
"","","மூலதன","5,427,000,000","",""
"அவமவு வருமாறு :-","","","","",""
"தவலபபு","151","","க்டறசறாழில, நீாியல வளஙகள் மறறும் க்டல வளஙகள் அவமச்சர்","",""
"","","நிகழ்ச்சிததிட்டம் 01","சசயலமுவறச் சசயற்பாடுகள்","395,000,000","42,000,000"
"","","நிகழ்ச்சிததிட்டம் 02","அ்பிவிருததிச் சசயற்பாடுகள்","1,627,000,000","5,198,000,000"
"தவலபபு","290","க்டறசறாழில மறறும் நீரக வளமூலஙகள் திவணக்களம்","","",""
"","","நிகழ்ச்சிததிட்டம் 01","சசயலமுவறச் சசயற்பாடுகள்","4,191,000,000","187,000,000"
"","","சுறறா்டல அவமச்சு","","",""
"","","மீண்டுவரும்","12,534,000,000","",""
"","","மூலதன","3,506,000,000","",""
"அவமவு வருமாறு :-","","","","",""
"தவலபபு","160","சுறறா்டல அவமச்சர்","","",""
"","","நிகழ்ச்சிததிட்டம் 01","சசயலமுவறச் சசயற்பாடுகள்","1,012,000,000","85,000,000"
"","","நிகழ்ச்சிததிட்டம் 02","அ்பிவிருததிச் சசயற்பாடுகள்","1,704,000,000","908,000,000"
"தவலபபு","283","வன ்பாதுகாபபுத திவணக்களம்","","",""
"","","நிகழ்ச்சிததிட்டம் 01","சசயலமுவறச் சசயற்பாடுகள்","2,500,000,000","1,280,000,000"
