"தவலபபு","்பிாிவு /அவமச்சு/","அதன்கீழ் சசலவினததுக்கு","சசலவின","மீண்ச்டழும்","மூலதனச்","சமாததச்"
"இல.","திவணக்களம் அலலது","அதிகாரமளிக்கப்படுகின்ற","நிகழ்ச்சிததிட்டம்","சசலவினம்","சசலவினம்","சசலவினம்"
"","நிறுவனததினால","அரசியலவமப்பினதும்","","ரூ்பா","ரூ்பா","ரூ்பா"
"","உறப்பட்ட சசலவினம்","சட்டததினதும் ஏற்பாடு","","","",""
"21","கணக்காயவாளர் அதி்பதி","அரசியலவமப்பின் 153ஆம்","நிகழ்ச்சிததிட்டம் 01","1,700,000","","1,700,000"
"","திவணக்களம்","உறுபபுவர","சசயலமுவறச்","","-",""
"","","","சசயற்பாடுகள்","","",""
"22","நிர்வாகததிறகான","அரசியலவமப்பின் 156ஆம்","நிகழ்ச்சிததிட்டம் 01","1,700,000","","1,700,000"
"","்பாராளுமன்ற","உறுபபுவர","சசயலமுவறச்","","-",""
"","ஆவணயாளர் அலுவலகம்","","சசயற்பாடுகள்","","",""
"23","கணக்காயவு சசவவ","அரசியலவமப்பின் 153அ  ஆம்","நிகழ்ச்சிததிட்டம் 01","5,200,000","","5,200,000"
"","ஆவணக்குழு","உறுபபுவர","சசயலமுவறச்","","-",""
"","","","சசயற்பாடுகள்","","",""
"24","சதசிய ச்பறுவக","அரசியலவமப்பின் 156ஆ ஆம்","நிகழ்ச்சிததிட்டம் 01","6,000,000","","6,000,000"
"","ஆவணக்குழு","உறுபபுவர","சசயலமுவறச்","","-",""
"","","","சசயற்பாடுகள்","","",""
"111","சுகாதாரம் மறறும்","மருததுவக் கட்டவளச்சட்டம்","நிகழ்ச்சிததிட்டம் 01","2,000","","2,000"
"","சவகுசன ஊ்டக அவமச்சு","(105ஆம் அததியாயம்)","சசயலமுவறச்","","-",""
"","","","சசயற்பாடுகள்","","",""
"249","திவறசசாி சசயற்பாடுகள்","1957 ஆம் ஆண்டின் 29ஆம்","நிகழ்ச்சிததிட்டம் 01","2,944,740,000,000","1,594,850,000,000","4,539,590,000,000"
"","திவணக்களம்","இலக்க, சவளிநாடடுக்","சசயலமுவறச்","","",""
"","","க்டன்கள் சட்டம் ்பநதி (அ)","சசயற்பாடுகள்","","",""
"","","மறறும் (இ) ்பிாிவு (2), சதசிய","","","",""
"","","திவறசசாி  உண்டியலகள்","","","",""
"","","கட்டவளச் சட்டம்","","","",""
"","","(அததியாயம் 417) 2018 ஆம்","","","",""
"","","ஆண்டின் 8 ஆம் இலக்க,","","","",""
"","","தீவிரப ச்பாறுபபு முகாவமச்","","","",""
"","","சட்டததின் ்பிாிவு 6(1)","","","",""
"253","ஓயவூதியத திவணக்களம்","விதவவகள் அநாவதகள்","நிகழ்ச்சிததிட்டம் 01","77,000,000,000","","77,000,000,000"
"","","ஓயவூதியச் சட்டம், (431ஆம்","சசயலமுவறச்","","-",""
"","","அததியாயம்) 1983 ஆம்","சசயற்பாடுகள்","","",""
"","","ஆண்டின் 24 ஆம் இலக்க,","","","",""
"","","விதவவகள் அநாவதகள்","","","",""
"","","ஓயவூதிய நிதியக் கட்டவளச்","","","",""
"","","சட்டம், 1970 ஆம் ஆண்டின்","","","",""
"","","18 ஆம் இலக்க, விதவவகள்","","","",""
"","","அநாவதகள் ஓயவூதிய நிதியச்","","","",""
"","","சட்டம், (்பவ்டக்கலன் தாஙகிய","","","",""
"","","சசவவகள்), ்பா்டசாவல","","","",""
"","","ஆசிாியர்களின் ஓயவூதியச்","","","",""
"","","சட்டம் (432 ஆம் அததியாயம்)","","","",""
"","","","","3,021,901,982,000","1,594,850,000,000","4,616,751,982,000"
