"","","","","முற்பணக் கணக்கு சசயற்பாடுகளின் வவரயவற","","","",""
"சதா்டர்","அவமச்சு / திவணக்களம்","சசலவின","I","II","III","IV","V",""
"இல.","","இல.","அரச சசயற்பாடுகள்","அரசாஙகததின்","அரச","அரச","அரச சசயற்பாடடு",""
"","","","","சசயற்பாடுகளின்","சசயற்பாடடு","சசயற்பாடடு","ச்பாறுபபுகளின்",""
"","","","","சசலவினததின்","வரவிறகான","்பறறு மீதிக்கான","உச்ச எலவலகள்",""
"","","","","உச்ச எலவலகள்","ஆகக் குவறநத","உச்ச எலவலகள்","",""
"","","","","","எலவலகள்","","ரூ்பா",""
"","","","","ரூ்பா","ரூ்பா","ரூ்பா","",""
"1","அதிசமதகு சனாதி்பதி","00101","அரச அலுவலர்களுக்கான","40,000,000","37,000,000","150,000,000","","-"
"","","","முற்பணம்","","","","",""
"2","்பிரதம அவமச்சர்","00201","அரச அலுவலர்களுக்கான","20,000,000","11,000,000","80,000,000","","-"
"","அலுவலகம்","","முற்பணம்","","","","",""
"3","உயர் நீதிமன்ற நீதி்பதிகள்","00401","அரச அலுவலர்களுக்கான","1,500,000","300,000","3,000,000","","-"
"","","","முற்பணம்","","","","",""
"4","அவமச்சரவவ அலுவலகம்","00501","அரச அலுவலர்களுக்கான","4,000,000","3,500,000","15,000,000","","-"
"","","","முற்பணம்","","","","",""
"5","அரசாஙக சசவவ","00601","அரச அலுவலர்களுக்கான","12,000,000","9,000,000","50,000,000","","-"
"","ஆவணக்குழு அலுவலகம்","","முற்பணம்","","","","",""
"6","நீதிச் சசவவகள்","00701","அரச அலுவலர்களுக்கான","3,000,000","2,500,000","15,000,000","","-"
"","ஆவணக்குழு","","முற்பணம்","","","","",""
"7","சதசிய ச்பாலிஸ்","00801","அரச அலுவலர்களுக்கான","5,000,000","4,500,000","15,000,000","","-"
"","ஆவணக்குழு","","முற்பணம்","","","","",""
"8","நிர்வாக சமன்முவறயீடடு","00901","அரச அலுவலர்களுக்கான","2,000,000","700,000","4,000,000","","-"
"","நியாயசவ்ப","","முற்பணம்","","","","",""
"9","இலஞ்சம் அலலது","01001","அரச அலுவலர்களுக்கான","15,000,000","10,000,000","45,000,000","","-"
"","ஊழலகள் ்பறறிய","","முற்பணம்","","","","",""
"","சாததுதலகவள","","","","","","",""
"","புலனாயவு சசயவதறகான","","","","","","",""
"","ஆவணக்குழு","","","","","","",""
