"சதா்டர்","அவமச்சு / திவணக்களம்","சசலவின","","I","II","III","IV","V",""
"இல.","","இல.","","அரச சசயற்பாடுகள்","அரசாஙகததின்","அரச","அரச","அரச சசயற்பாடடு",""
"","","","","","சசயற்பாடுகளின்","சசயற்பாடடு","சசயற்பாடடு","ச்பாறுபபுகளின்",""
"","","","","","சசலவினததின்","வரவிறகான","்பறறு மீதிக்கான","உச்ச எலவலகள்",""
"","","","","","உச்ச எலவலகள்","ஆகக் குவறநத","உச்ச எலவலகள்","",""
"","","","","","","எலவலகள்","","ரூ்பா",""
"","","","","","ரூ்பா","ரூ்பா","ரூ்பா","",""
"104","மாவட்டச் சசயலகம் -","25501","","அரச அலுவலர்களுக்கான","120,000,000","85,000,000","456,000,000","","-"
"","சகாழும்பு","","முற்பணம்","","","","","",""
"105","மாவட்டச் சசயலகம்,","25601","","அரச அலுவலர்களுக்கான","140,000,000","150,000,000","550,000,000","","-"
"","கம்்பஹா","","முற்பணம்","","","","","",""
"106","மாவட்டச் சசயலகம்,","25701","","அரச அலுவலர்களுக்கான","130,000,000","110,000,000","350,000,000","","-"
"","களுததுவற","","முற்பணம்","","","","","",""
"107","மாவட்டச் சசயலகம்,","25801","","அரச அலுவலர்களுக்கான","150,000,000","115,000,000","430,000,000","","-"
"","கண்டி","","முற்பணம்","","","","","",""
"108","மாவட்டச் சசயலகம்,","25901","","அரச அலுவலர்களுக்கான","85,000,000","75,000,000","330,000,000","","-"
"","மாததவள","","முற்பணம்","","","","","",""
"109","மாவட்டச் சசயலகம்,","26001","","அரச அலுவலர்களுக்கான","65,000,000","55,000,000","245,000,000","","-"
"","நுவசரலியா","","முற்பணம்","","","","","",""
"110","மாவட்டச் சசயலகம்,","26101","","அரச அலுவலர்களுக்கான","145,000,000","125,000,000","500,000,000","","-"
"","காலி","","முற்பணம்","","","","","",""
"111","மாவட்டச் சசயலகம் ,","26201","","அரச அலுவலர்களுக்கான","130,000,000","115,000,000","260,000,000","","-"
"","மாததவற","","முற்பணம்","","","","","",""
"112","மாவட்டச் சசயலகம் ,","26301","","அரச அலுவலர்களுக்கான","85,000,000","76,000,000","250,000,000","","-"
"","அம்்பாநசதாடவ்ட","","முற்பணம்","","","","","",""
"113","மாவட்டச் சசயலகம் /","26401","","அரச அலுவலர்களுக்கான","100,000,000","85,000,000","280,000,000","","-"
"","கச்சசாி - யாழ்ப்பாணம்","","முற்பணம்","","","","","",""
"114","மாவட்டச் சசயலகம் /","26501","","அரச அலுவலர்களுக்கான","30,000,000","20,000,000","80,000,000","","-"
"","கச்சசாி - மன்னார்","","முற்பணம்","","","","","",""
"115","மாவட்டச் சசயலகம் /","26601","","அரச அலுவலர்களுக்கான","40,000,000","22,000,000","100,000,000","","-"
"","கச்சசாி - வவுனியா","","முற்பணம்","","","","","",""
"116","மாவட்டச் சசயலகம் /","26701","","அரச அலுவலர்களுக்கான","48,000,000","20,000,000","120,000,000","","-"
"","கச்சசாி -முலவலததீவு","","முற்பணம்","","","","","",""
"117","மாவட்டச் சசயலகம் /","26801","","அரச அலுவலர்களுக்கான","44,000,000","20,000,000","100,000,000","","-"
"","கச்சசாி - கிளிசநாச்சி","","முற்பணம்","","","","","",""
