"தவலபபு","்பிாிவு /அவமச்சு/","அதன்கீழ் சசலவினததுக்கு","சசலவின","மீண்ச்டழும்","மூலதனச்","","சமாததச்"
"இல.","திவணக்களம் அலலது","அதிகாரமளிக்கப்படுகின்ற","நிகழ்ச்சிததிட்டம்","சசலவினம்","சசலவினம்","","சசலவினம்"
"","நிறுவனததினால","அரசியலவமப்பினதும்","","ரூ்பா","ரூ்பா","","ரூ்பா"
"","உறப்பட்ட சசலவினம்","சட்டததினதும் ஏற்பாடு","","","","",""
"1","அதிசமதகு சனாதி்பதி","அரசியலவமப்பின் 36 ஆம்","நிகழ்ச்சிததிட்டம் 01","7,020,000","","","7,020,000"
"","","உறுபபுவர","சசயலமுவறச்","","","-",""
"","","","சசயற்பாடுகள்","","","",""
"4","","உயர் நீதிமன்ற நீதி்பதிகள் அரசியலவமப்பின் 108 ஆம்","நிகழ்ச்சிததிட்டம் 01","95,000,000","","","95,000,000"
"","","உறுபபுவர","சசயலமுவறச்","","","-",""
"","","","சசயற்பாடுகள்","","","",""
"6","அரசாஙக சசவவ","அரசியலவமப்பின் IX ஆம்","நிகழ்ச்சிததிட்டம் 01","10,260,000","","","10,260,000"
"","ஆவணக்குழு அலுவலகம்","அததியாயம்","சசயலமுவறச்","","","-",""
"","","","சசயற்பாடுகள்","","","",""
"7","","நீதிச் சசவவ ஆவணக்குழு அரசியலவமப்பின் XV அ ஆம்","நிகழ்ச்சிததிட்டம் 01","2,700,000","","","2,700,000"
"","","அததியாயம்","சசயலமுவறச்","","","-",""
"","","","சசயற்பாடுகள்","","","",""
"8","சதசிய ச்பாலிஸ்","அரசியலவமப்பின்  XVIII அ","நிகழ்ச்சிததிட்டம் 01","8,100,000","","","8,100,000"
"","ஆவணக்குழு","ஆம் அததியாயம்","சசயலமுவறச்","","","-",""
"","","","சசயற்பாடுகள்","","","",""
"10","இலஞ்சம் அலலது","2023 ஆம் ஆண்டின் 9 ஆம்","நிகழ்ச்சிததிட்டம் 01","16,800,000","","","16,800,000"
"","ஊழல குறறச்சாடடுகள்","இலக்க, ஊழல எதிர்பபுச்","சசயலமுவறச்","","","-",""
"","்பறறிய சாததுதலகவள","சட்டம்","சசயற்பாடுகள்","","","",""
"","புலனாயவு சசயவதறகான","","","","","",""
"","ஆவணக்குழு","","","","","",""
"16","்பாராளுமன்றம்","அரசியலவமப்பின் 65 ஆம்","நிகழ்ச்சிததிட்டம் 01","1,500,000","","","1,500,000"
"","","உறுபபுவர","சசயலமுவறச்","","","-",""
"","","","சசயற்பாடுகள்","","","",""
"20","சதர்தலகள் ஆவணக்குழு","அரசியலவமப்பின் 103 ஆம்","நிகழ்ச்சிததிட்டம் 01","6,000,000","","","6,000,000"
"","","உறுபபுவர","சசயலமுவறச்","","","-",""
"","","","சசயற்பாடுகள்","","","",""
