"","","Inland Revenue (Amendment)","5",""
"","16.","Section  129  of  the  principal  enactment  is  hereby","","Amendment"
"","","","","of  section"
"","amended by the substitution for the words “to file a return of","","",""
"","","","","129  of  the"
"","information related to matters”, of the words “to file a return","","",""
"","","","","principal"
"","of information or annual statement”.","","",""
"","","","","enactment."
"5","17.","Section  139  of  the  principal  enactment  is  hereby","","Amendment"
"","","","","of  section"
"","amended by the repeal of subsection (3) of that section and","","",""
"","","","","139  of  the"
"","the substitution therefor of the  following subsection:–","","",""
"","","","","principal"
"","","","","enactment."
"","","“(3) Where the request is an objection against","",""
