"ෙක.ටෙසi","","ස)n_ණ නම/න) සහ K(cid:28)නය","හ
ැ
oP)ප&  ඉඩෙ)  ප(cid:10)%ය සහ","උකස් සහ බැp)","න) ඒ (cid:28)rබඳ"
"අංකය","","","අ
ං
කය 
(cid:7)මාණය  ස්වභාවය","(cid:28)rබඳ eස්තර","eස්තර"
"","———————————————————————————————————————————————————————————————————————————————————-","","","",""
"(","ෙහ8ටයා_)","","","",""
"116","0.0670","රජය","– 
ස)n_ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"117","0.0271","රජය","– 
ස)n_ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"123","0.0508","රජය","– 
ස)n_ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"124","0.0158","රජය","– 
ස)n_ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"128","0.0034","රජය","– 
ස)n_ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"129","0.0118","රජය","– 
ස)n_ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"169","0.0250","රජය","– 
ස)n_ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"170","0.0052","රජය","– 
ස)n_ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"172","0.0057","රජය","– 
ස)n_ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"173","0.0011","රජය","– 
ස)n_ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"174","0.0121","රජය","– 
ස)n_ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"175","0.0081","රජය","– 
ස)n_ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"0
  178","0.0003","රජය","– 
ස)n_ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
