"18","Poisons, Opium and Dangerous"
"","Drugs (Amendment)"
"3 1","2,5-Dimethoxy-4-
2,5-dimethoxy-α,4-"
"","methylamphetamine
dimethylphenethylamine"
"","(STP,  DOM)"
"3 2","Tenocyclidine  (TCP)
1-[1-(2-thienyl)cyclohexyl]"
"","piperidine"
"3 3","Tetrahydro-
tetrahydrocannabinol,"
"","cannabinol  (THC)
the  following  isomers  and  their"
"","stereochemical  variants:"
"","(i)  delta-6a(10a)-THC 7,8,9,10-tetrahydro-6,6,9-"
"","trimethyl-3-pentyl-6H-"
"","dibenzo[b,d]pyran-1-ol"
"","(ii)  delta-6a(7)-THC
(9R,10aR)-8,9,10,10a-tetrahydro-"
"","6,6,9-trimethyl-3-pentyl-6H-"
"","dibenzo[b,d]pyran-  1-ol"
"","(iii)  delta-7-THC
(6aR,9R,10aR)-6a,9,10,10a-"
"","tetrahydro-6,6,9-trimethyl-3-"
"","pentyl-6H-dibenzo[b,d]pyran-1-ol"
"","(iv)  delta-8-THC
(6aR,10aR)-6a,7,10,10a-tetrahydro-"
"","6,6,9-trimethyl-3-pentyl-6H-"
"","dibenzo[b,d]pyran-1-ol"
"","(v)  delta-10-THC
6a,7,8,9-tetrahydro-6,6,9-"
"","trimethyl-3-pentyl-6H-"
"","dibenzo[b,d]pyran-1-ol"
"","(vi)  delta-9(11)-THC
(6aR,10aR)-6a,7,8,9,10,10a-"
"","hexahydro-6,6-dimethyl-9-"
"","methylene3-pentyl-6H-"
"","dibenzo[b,d]pyran-1-ol"
"3 4","Trimethoxyam
(±)-3,4,5-
trimethoxy-á-"
"","phetamine  (TMA)
methylphenethylamine"
"3 5","Amphetamine
(±)-α-methylphenethylamine"
"3 6","Amineptine
7-[(10,11-dihydro-5H-"
"","dibenzo[a,d]cyclohepten-5-"
"","yl)amino]heptanoic  acid"
"3 7","AM-2201,
[1-(5-Fluoropentyl)-1H-indol-3-"
"","JWH-2201
yl](naphthalen-1-yl)methanone"
"3 8","5F-APINACA,
N-(adamantan-1-yl)-1-"
"","5F-AKB-48
(5-fluoropentyl)-1H-indazole-3-"
"","carboxamide"
"3 9","Methyl 2-({[1-(5-
5F-AMB,  5F-AMB"
"","-PINACA
fluoropentyl)-1H-indazol-"
"","3yl]carbonyl}amino)-3-"
"","methylbutanoate"
