"nt","10","","Code of Criminal Procedure (Amendment)","",""
"x","","","","",""
"","","268","Offering  for  sale,","same","imprisonment  of"
"","","","or  issuing  from  a","","either"
"","","","dispensary,  any","","description  for  a"
"","","","","","term  which  may"
"","","","drug  or  medical","",""
"ne","","","","","extend  to  six"
"","","","preparation  known","",""
"","","","","","months,  or  fine"
"","","","to  have  been","",""
"","","","","","which  may"
"","","","adulterated","",""
"","","","","","extend  to  one"
"","","","","","hundred"
"","","","","","thousand"
"d","","","","","rupees,  or  both"
"","","269","Knowingly  selling,","same","imprisonment  of"
"","","","","","either"
"","","","or  issuing  from  a","",""
"","","","","","description  for  a"
"","","","dispensary  any","",""
"t","","","","",""
"","","","","","term  which  may"
"","","","drug  or  medical","",""
"","","","","","extend  to  six"
"","","","preparation  as  a","",""
"","","","","","months,  or  fine"
"","","","different  drug  or","",""
"","","","","","which  may"
"","","","medical  preparation","","extend  to  one"
"","","","","","hundred"
"ng","","","","",""
"","","","","","thousand"
"nd","","","","",""
"","","","","","rupees,  or  both"
"on","","","","",""
"","","270","Defiling  the  water","imprisonment","Simple"
"o s","","","of  a  public  spring","of  either","imprisonment"
"s","","","","",""
"","","","or  reservoir","description","for  a  term"
"","","","","for  three","which  may"
"","","","","months,  or","extend  to  six"
"not","","","","",""
"","","","","fine  of  fifty","months,  or"
"","","","","rupees  or","with  fine"
"","","","","both","which  may"
"","","","","","extend  to  one"
"the","","","","",""
"","","","","","hundred"
"of","","","","",""
"","","","","","thousand"
"","","","","","rupees,  or  both"
