"","","","","cr;r","vy;iyfs;","cr;r","cr;r",""
"","","","","vy;iyfs;","","vy;iyfs;","vy;iyfs;",""
"","","","","&gh","&gh","&gh","&gh",""
"119","ePjpkd;w  eph;thfk;","22801","mur  mYtyh;fSf;fhd","","","","",""
"","","","","475,000,000","","373,000,000       1,650,000,000","—",""
"","","","Kw;gzk;","","","","",""
"120","rl;
;lkh  mjpgh;  jpizf;fsk;","22901","mur  mYtyh;fSf;fhd","","","","",""
"","","","","25,000,000","17,000,000","80,000,000","—",""
"","","","Kw;gzk;","","","","",""
"121","rl;l  tiuQh;  jpizf;fsk;","23001","mur  mYtyh;fSf;fhd","","","","",""
"","","","","7,000,000","3,200,000","20,000,000","—",""
"","","","Kw;gzk;","","","","",""
"122","fld;  ,zf;fr;  rig","23101","mur  mYtyh;fSf;fhd","","","","",""
"","","","","1,500,000","500,000","4,500,000","—",""
"","jpizf;fsk;","","Kw;gzk;","","","","","xJf;fPl;Lr; rl;lk;"
"123","rpiwr;rhiyfs;  jpizf;fsk;","23201","mur  mYtyh;fSf;fhd","","","","",""
"","","","","150,000,000","135,000,000","435,000,000","—",""
"","","","Kw;gzk;","","","","",""
"124","rpiwr;rhiyfs;","23202","rpiwr;rhiyf;  ifj;njhopy;","","","","",""
"","","","","110,000,000","120,000,000","65,000,000","15,000,000",""
"","jpizf;fsk;","","kw;Wk;  tptrha  Kaw;rpfs;","","","","",""
"125","murhq;f  ,urhadg;","23301","mur  mYtyh;fSf;fhd","","","","",""
"","","","","9,000,000","6,500,000","35,000,000","—",""
"","gFg;gha;thsh;  jpizf;fsk;","","Kw;gzk;","","","","",""
"126","cah;  ePjpkd;wg;  gjpthsh;","23401","mur  mYtyh;fSf;fhd","","","","",""
"","","","","15,000,000","10,500,000","46,000,000","—",""
"","mYtyfk;","","Kw;gzk;","","","","",""
"127","rl;l  Mizf;FOj;  jpizf;fsk;","23501","mur  mYtyh;fSf;fhd","","","","",""
"","","","","1,600,000","700,000","5,000,000","—",""
"","","","Kw;gzk;","","","","",""
"128","mur  fUk  nkhopfs;","23601","mur  mYtyh;fSf;fhd","","","","",""
"","","","","7,500,000","4,800,000","29,000,000","—",""
"","jpizf;fsk;","","Kw;gzk;","","","","",""
"129","Njrpa  jpl;
;lkply;  jpizf;fsk;","23701","mur  mYtyh;fSf;fhd","","","","",""
"","","","","5,000,000","4,000,000","30,000,000","—",""
"","","","Kw;gzk;","","","","",""
