"","","","","","cr;r","vy;iyfs;
cr;r","cr;r"
"","","","","","vy;iyfs;","vy;iyfs;","vy;iyfs;"
"","","","","","&gh","&gh
&gh","&gh"
"10",",yQ;rk;  my;yJ  Coy;fs;","","01002",",yQ;rj;jpidf;  fz;lwpa","","",""
"","gw;wpa rhh;j;Jjy;fis Gydha;T","","",",yQ;rkhfg; gad;","","",""
"","nra;tjw;fhd  Mizf;FO","","","gLj;Jtjw;fhd","","",""
"","","","","Kw;gzk;","100,000,000","1,000,000
      275,000,000","—"
"11","epjp  Mizf;FO  mYtyfk;","","01101","mur  mYtyh;fSf;fhd","","",""
"","","","","Kw;gzk;","3,200,000","1,400,000
        13,000,000","—"
"12","ghuhSkd;wk;","","01601","mur  mYtyh;fSf;fhd","","",""
"","","","","Kw;gzk;","40,000,000","35,000,000           200,000,000","—"
"13","ghuhSkd;w rig  Kjy;thpd;","","01701","mur  mYtyh;fSf;fhd","","",""
"","mYtyfk;","","","Kw;gzk;","2,200,000","1,200,000
6,000,000","—"
"14","ghuhSkd;w  murhq;f","","01801","mur  mYtyh;fSf;fhd","","",""
"","fl;rpapd; Kjw;Nfhyhrhdpd;","","","Kw;gzk;","3,000,000","1,500,000
8,000,000","—"
"","mYtyfk;","","","","","",""
"15","ghuhSkd;w  vjph;f;fl;rpj;","","01901","mur  mYtyh;fSf;fhd","","",""
"","jiythpd;  mYtyfk;","","","Kw;gzk;","3,000,000","1,600,000
      10,000,000","—"
"16","Njh;jy;fs;  Mizf;FO","","02001","mur  mYtyh;fSf;fhd","","",""
"","","","","Kw;gzk;","38,000,000","22,000,000
      85,000,000","—"
"17","Njrpa  fzf;fha;T  mYtyfk;",";","02101","mur  mYtyh;fSf;fhd","","",""
"","","","","Kw;gzk;","78,000,000","55,000,000
      307,000,000","—"
"18","eph;thfj;jpw;fhd  ghuhSkd;w","","02201","mur  mYtyh;fSf;fhd","","",""
"","Mizahsh;  mYtyfk;","","","Kw;gzk;","1,600,000","450,000
5,200,000","—"
