"","","","","cr;r","vy;iyfs;","cr;r","","cr;r",""
"","","","","vy;iyfs;","","vy;iyfs;","","vy;iyfs;",""
"","","","","&gh","&gh","&gh","","&gh",""
"194","msTf;  $Wfs;>  fl;lisfs;","29801","mur  mYtyh;fSf;fhd","","","","","",""
"","kw;Wk;  Nritfs;","","Kw;gzk;","8,000,000","4,500,000","","33,000,000","—",""
"","jpizf;fsk;","","","","","","","",""
"195",",yq;if Njrpa Gyikr;nrhj;J","29901","mur  mYtyh;fSf;fhd","","","","","",""
"","mYtyfk;","","Kw;gzk;","5,500,000","2,000,000","","17,000,000","—",""
"196","czT  Mizahsh;","30001","mur  mYtyh;fSf;fhd","","","","","",""
"","jpizf;fsk;","","Kw;gzk;","7,000,000","3,800,000","","42,000,000","—",""
"197","$l;LwT  mgptpUj;jp","30101","mur  mYtyh;fSf;fhd","","","","","",""
"","($l;LwTr;  rq;fq;fs;","","Kw;gzk;","7,500,000","3,000,000","","30,000,000","—","xJf;fPl;Lr; rl;lk;"
"","gjpthsh;)  jpizf;fsk;","","mur  mYtyh;fSf;fhd","","","","","",""
"198","$l;LwT  Copah;fs;","30201","Kw;gzk;","1,800,000","400,000","","6,000,000","—",""
"","Mizf;FO","","","","","","","",""
"199","nerTf;  ifj;njhopy;","30301","mur  mYtyh;fSf;fhd","","","","","",""
"","jpizf;fsk;","","Kw;gzk;","6,000,000","3,000,000","","30,000,000","—",""
"200","tspkz;lytpay;  jpizf;fsk;","30401","mur  mYtyh;fSf;fhd","","","","","",""
"","","","Kw;gzk;","12,000,000","8,000,000","","55,000,000","—",""
"201",",yq;ifg;  Gifapujj;","30601","mur  mYtyh;fSf;fhd","","","","","",""
"","jpizf;fsk;","","Kw;gzk;","535,000,000","540,000,000","","2,000,000,000","—",""
"202",",yq;ifg;  Gifapujj;","30602","Gifapujf;  fsQ;rpaq;fs;","","","","","",""
"","jpizf;fsk;","","Kw;gzf;  fzf;F","1,800,000,000","1,800,000,000","","7,200,000,000","1,500,000,000",""
"203","Nkhl;lhh; Nghf;Ftuj;Jj;","30701","mur  mYtyh;fSf;fhd","","","","","",""
"","jpizf;fsk;","","Kw;gzk;","35,000,000","22,500,000","","158,000,000","—",""
"204","jghy;  jpizf;fsk;","30801","mur  mYtyh;fSf;fhd","","","","","",""
"","","","Kw;gzk;","840,000,000","775,000,000","","2,400,000,000","—",""
