"","165","Department  of  Land  Title","","","",""
"","","Settlement","28701 Advances  to  Public  Officers","21,000,000","16,000,000
88,000,000","—"
"","166","Department  of  Surveyor  General","","28801 Advances  to  Public  Officers 150,000,000 121,000,000 400,000,000","","—"
"","167","","Department  of  Export  Agriculture 28901 Advances  to  Public  Officers","45,000,000","29,000,000 110,000,000","—"
"5","168","Department  of  Fisheries  and","","","",""
"","","Aquatic  Resources","29001 Advances  to  Public  Officers","30,000,000","20,000,000 105,000,000","—"
"","169","Department  of  Coast  Conservation","","","",""
"","","and  Coastal  Resource  Management","29101 Advances  to  Public  Officers","14,000,000","9,500,000
42,000,000","—"
"","170","Deparatment  of  Animal","","","",""
"10","","Production  and  Health","29201 Advances  to  Public  Officers","39,000,000","23,000,000 120,000,000","—"
"","171","Department  of  Rubber","","","",""
"","","Development","29301 Advances  to  Public  Officers","21,000,000","15,000,000
56,000,000","—"
"","172","Department  of  National","","","",""
"","","Zoological  Gardens","29401 Advances  to  Public  Officers","38,000,000","15,000,000
90,000,000","—"
"15","173","Department  of  Commerce","29501 Advances  to  Public  Officers","6,500,000","3,000,000
20,000,000","—"
"","174","Department  of  Import  and","","","",""
"","","Export  Control","29601 Advances  to  Public  Officers","5,000,000","2,400,000
20,000,000","—"
"","175","Department  of  the  Registrar  of","","","",""
"","","Companies","29701 Advances  to  Public  Officers","8,000,000","3,400,000
20,000,000","—"
"20","176","Department  of  Measurement","","","",""
"","","Units,  Standards  and  Services","29801 Advances  to  Public  Officers","8,000,000","4,000,000
  30,000,000","—"
