"","Head","","","Recurrent","Capital","24"
"","No.","","","Expenditure","Expenditure",""
"","","","","Rs.","Rs.",""
"","Head
212","Department    of  Examinations","","","",""
"","","Programme  02  -  Development  Activities","","3,133,000,000","319,000,000",""
"","Head
213","Department  of  Educational  Publications","","","",""
"","","Programme  02
Development  Activities","","58,660,000","73,600,000",""
"5","","Ministry  of  Public  Administration  and  Management","","","",""
"","","Recurrent","184,512,365,000","","",""
"","","Capital","1,113,000,000","","",""
"","Made  up  as  follows:-","","","","",""
"","Head
130","Minister  of  Public  Administration  and  Management","","","","Appropriation"
"10","","Programme  01
Operational  Activities","","1,166,460,000","943,865,000",""
"","Head
211","Department  of  Government  Printer","","","",""
"","","Programme  01
Operational  Activities","","2,403,725,000","107,885,000",""
"","Head
253","Department  of  Pensions","","","",""
"","","Programme  01
Operational  Activities","","180,942,180,000","61,250,000",""
"15","","Ministry  of  Plantation  Industries","","","",""
"","","Recurrent","3,344,800,000","","",""
"","","Capital","5,300,000,000","","",""
"","Made  up  as  follows:-","","","","",""
"","Head
135","Minister  of  Plantation  Industries","","","",""
"20","","Programme  01
Operational  Activities","","494,800,000","20,500,000",""
"","","Programme  02
Development  Activities","","2,513,000,000","4,312,500,000",""
