"","22","","Convention  against  Doping  in  Sport"
"","","","Act, No. 33 of 2013"
"Interpretation.","","",""
"","","36.","In this Act, unless the context otherwise requires-"
"","","","“athlete” means any person who participates in any"
"","","","sport  at  the  international  or  national  level  or"
"","","","any sports event;"
"","","","“CAS” means Court of Arbitration of Sports;"
"","","","“Code” means the World Anti-Doping Code adopted"
"","","","by the World Anti-Doping Agency (WADA) on"
"","","","March 5, 2003 at Copenhagen, as amended from"
"","","","time to time;"
"","","","“competition” means a single race, match, game or"
"","","","singular  athletic  contest;"
"","","","“in-competition  testing”  means  for  purposes  of"
"","","","differentiating between in-competition and out-"
"","","","of-competition 
testing,  unless  provided"
"","","","otherwise  in  the  rules  of  an  international"
"","","","Federation  or  other  relevant  anti-doping"
"","","","organization, a test where an athlete is selected"
"","","","for  testing  in  connection  with  a  specific"
"","","","competition;"
"","","","“person  connected  with  the  training  of  an  athlete”"
"","","","includes every person who is a Curator, Match"
"","","","Adjudicator, Umpire, Referee, Sports Manager,"
"","","","Coach,  Trainer,  Sports  Associate,  Masseur,"
"","","","Physio, Medico, or Paramedic;"
"","","","“sports  organization”  means  any  organization  that"
"","","","serves as the ruling body for an event for one or"
"","","","several sports;"
"","","","“testing”  means  the  parts  of  the  doping  control"
"","","","process  involving  test  distribution  planning,"
"","","","sample  collection,  sample  handling  and"
"","","","transport of sample to the laboratory;"
