"Section","Title","Page"
"","Division II: Realization of assets",""
"42.","Cost of trading stock and other fungible assets.","36"
"43.","Realisation with retention of asset.","37"
"44.","Transfer of asset to spouse or former spouse.","37"
"45.","Transfer of asset on death.","38"
"46.","Transfer of asset to an associate or for no consideration.","38"
"47.","Involuntary realisation of asset with replacement.","40"
"48.","Realisation  by  separation.","41"
"49.","Transfer by way of security, finance lease or instalment",""
"","sale.","41"
"50.","Payment of Tax on gains from realisation of an Asset.","42"
"51.","Apportionment of costs and consideration received.","42"
