"S.No.","Column I","Column II","","Column III","ICL"
"","HS","HS Code","","Description",""
"","Heading","","","",""
"203","08.02","","","Other nuts, fresh or dried, whether or not shelled or",""
"","","","","peeled.",""
"","","0802.80","-","Areca nuts:",""
"","","0802.80.10","---","fresh (not shelled or peeled)","l"
"","","0802.80.90","---","other","l"
"204","08.13","","","fruit, dried, other than that of headings 08.01",""
"","","","","to 08.06; mixtures of nuts or dried fruits of this",""
"","","","","Chapter.",""
"","","0813.40","-","other fruit :",""
"","","0813.40.10","---","tamarind","l"
"205","09.04","","","Pepper of the genus Piper; dried or crushed or",""
"","","","","ground fruits of the genus Capsicum or of the genus",""
"","","","","Pimenta.",""
"","","","-","Pepper :",""
"","","0904.11","--","Neither crushed nor ground",""
"","","","---","light berries of pepper with a density not exceeding",""
"","","","","450 grams per litre",""
