"S.No.","Column I","Column II","","","Column III","ICL"
"","HS","HS Code","","","Description",""
"","Heading","","","","",""
"","","0904.11.11","----","organic","","l"
"","","0904.11.19","----","other","","l"
"","","","","","matured berries of pepper with a density exceeding 450",""
"","","0904.11.20","---","","","l"
"","","","","grams per litre","",""
"","","0904.11.30","---","other, white","","l"
"","","0904.11.90","---","other","","l"
"","","0904.12","--","crushed or ground :","",""
"","","0904.12.10","---","crushed","","l"
"","","0904.12.20","---","ground","","l"
"206","09.06","","","Cinnamon and cinnamon-tree flowers.","",""
"","","","-","Neither crushed nor ground :","",""
"","","0906.11","--","","cinnamon (Cinnamomum zeylanicum Blume):",""
"","","","---","organic","",""
"","","","","","Quills cut, in retail packs of 1 kg or less and packed in",""
"","","0906.11.11","----","","","l"
"","","","","cases","",""
"","","0906.11.12","----","other quills","","l"
"","","0906.11.13","----","Qullings","","l"
"","","0906.11.14","----","featherings","","l"
"","","0906.11.15","----","chips","","l"
"","","0906.11.19","----","other","","l"
"","","","---","other:","",""
"","","","","","Quills cut, in retail packs of 1 kg or less and packed in",""
"","","0906.11.91","----","","","l"
"","","","","cases","",""
"","","0906.11.92","----","other quills","","l"
"","","0906.11.93","----","Qullings","","l"
