"","Head","","","","Recurrent","Capital","18"
"","No.","","","","Expenditure","Expenditure",""
"","","","","","Rs.","Rs.",""
"","","","Ministry  of  Power  and  Renewable  Energy","","","",""
"","","","Recurrent","498,150,000","","",""
"","","","Capital","339,733,000","","",""
"","","Made  up  as  follows  :-","","","","",""
"5","Head","119","Minister  of  Power  and  Renewable  Energy","","","",""
"","","","Programme  01
Operational  Activities","","266,150,000","6,550,000",""
"","","","Programme  02
Development  Activities","","232,000,000","333,183,000",""
"","","","Ministry  of  Women  and  Child  Affairs","","","",""
"","","","Recurrent","1,406,243,000","","",""
"10","","","Capital","1,603,000,000","","","Appropriation"
"","","Made  up  as  follows  :-","","","","",""
"","Head","120","Minister  of  Women  and  Child  Affairs","","","",""
"","","","Programme  01
Operational  Activities","","584,305,000","69,500,000",""
"","","","Programme  02
Development  Activities","","551,598,000","1,454,160,000",""
"15","Head","217","Department  of  Probation  and  Childcare  Services","","","",""
"","","","Programme  01
Operational  Activities","","37,000,000","890,000",""
"","","","Programme  02
Development  Activities","","233,340,000","78,450,000",""
"","","","Ministry  of    Home  Affairs","","","",""
"","","","Recurrent","28,100,000,000","","",""
"20","","","Capital","16,000,000,000","","",""
"","","Made  up  as  follows  :-","","","","",""
