"","4 5","Minister  of  Hill  Country  New","","","","",""
"","","Villages,  Infrastructure  and","","","","",""
"","","Community    Development","14001 Advances  to  Public  Officers","15,000,000","6,500,000","40,000,000","—"
"","4 6","Minister  of  Prison  Reforms,","","","","",""
"5","","Rehabilitation,  Resettlement  and","","","","",""
"","","Hindu  Religious  Affairs","14501 Advances  to  Public  Officers","10,000,000","4,000,000","37,000,000","—"
"","47","Minister  of  Regional  Development","14701 Advances  to  Public  Officers","4,000,000","800,000","7,000,000","—"
"","4 8","Minister  of  Development","","","","",""
"","","Assignment","14801 Advances  to  Public  Officers","3,500,000","500,000","7,500,000","—"
"10","4 9","Minister  of  Industry  and","","","","",""
"","","Commerce","14901 Advances  to  Public  Officers","35,000,000","14,000,000 105,000,000","","—"
"","5 0","Minister  of  Petroleum  Resources","","","","",""
"","","Development","15001 Advances  to  Public  Officers","5,500,000","2,500,000","15,000,000","—"
"","5 1","Minister  of  Fisheries  and  Aquatic","","","","",""
"15","","Resources  Development","15101 Advances  to  Public  Officers","12,500,000","5,000,000","30,000,000","—"
"","5 2","Minister  of  Rural  Economic","","","","",""
"","","Affairs","15401 Advances  to  Public  Officers","24,000,000","12,500,000","80,000,000","—"
"","5 3","Minister  of    Provincial  Councils","","","","",""
"","","and    Local  Government","15501 Advances  to  Public  Officers","17,000,000","6,000,000","35,000,000","—"
"20","5 4","Minister  of  National  Co-existence,","","","","",""
"","","Dialogue  and  Official  Languages","15701 Advances  to  Public  Officers","18,000,000","7,000,000","60,000,000","—"
