"","Head","2 1","National  Audit  Office","",""
"","","","Programme  01
Operational  Activities","2,457,430,000","21,000,000"
"","Head","2 2","Office  of  the  Parliamentary  Commissioner  for  Administration","",""
"","","","Programme  01
Operational  Activities","54,280,000","300,000"
"5","Head","2 5","Delimitation  Commission","",""
"","","","Programme  01
Operational  Activities","","17,300,000                  100,000"
"","","","Ministry  of  Buddha  Sasana,  Religious  and  Cultural  Affairs","",""
"","","","Recurrent
6,355,000,000","",""
"","","","Capital
1,585,000,000","",""
"10","","Made  up  as  follows  :-","","",""
"","Head","101","Minister  of    Buddha  Sasana,  Religious  and  Cultural  Affairs","",""
"","","","Programme  01
Operational  Activities","553,000,000","135,000,000"
"","","","Programme  02
Development  Activities","959,000,000","443,500,000"
"","Head","201","Department  of  Buddhist  Affairs","",""
"15","","","Programme  01
Operational  Activities","101,000,000","8,000,000"
"","","","Programme  02
Development  Activities","1,491,000,000","44,000,000"
"","Head","202","Department  of  Muslim  Religious  and  Cultural  Affairs","",""
"","","","Programme  02
Development  Activities","163,000,000","21,000,000"
"","Head","203","Department  of  Christian  Religious    Affairs","",""
"","","","Programme  02
Development  Activities","192,000,000","21,000,000"
"20","","","","",""
