"","","","I","II","[Sections 3,4,8 and 9]","",""
"","SRL","Ministries / Departments","Item
Activities of the Government","Maximum","Minimum","Maximum","Maximum"
"","No.","","No.
ESTIMATE — 2023","Limits of","Limits of","Limits of","Limits of"
"","","","","Expenditure","Receipts  to  be Debit Balance","","Liabilities"
"","","","Limits  of  Advance  Accounts  Activities","","","",""
"","","","","of Activities","credited  to  the","of Activities","of Activities"
"","","","I","of the","Accounts  of","of  the","of the"
"","SRL","Ministries / Departments","Item
Activities of the Government","Government","Activities  of the","Government","Government"
"","No.","","No.","Limits of","Government","Limits of","Limits of"
"","","","","Expenditure","Receipts  to  be Debit Balance","","Liabilities"
"","","","","Rs.","Rs.","Rs.","Rs."
"","","","","of Activities","credited  to  the","of Activities","of Activities"
"","","","","of the","Accounts  of","of  the","of the"
"","","","","Government","Activities  of the","Government","Government"
"","","","","","Government","",""
"","","","","Rs.","Rs.","Rs.","Rs."
"","1","His  Excellency  the  President","00101 Advances  to  Public  Officers","40,000,000","18,000,000 130,000,000","","—"
"","2","Office  of  the  Prime  Minister","00201 Advances  to  Public  Officers","25,000,000","12,000,000","85,000,000","—"
"","3","Judges  of  the  Superior  Courts","00401 Advances  to  Public  Officers","1,000,000","300,000","4,000,000","—"
"","4","Office  of  the  Cabinet  of  Ministers","00501 Advances  to  Public  Officers","3,500,000","3,000,000","18,000,000","—"
"5","5","Office  of  the  Public  Service","","","","",""
"","","Commission","00601 Advances  to  Public  Officers","10,000,000","8,000,000","50,000,000","—"
"","6","Judicial  Service  Commission","00701 Advances  to  Public  Officers","3,000,000","1,700,000","15,000,000","—"
"","7","National  Police  Commission","00801 Advances  to  Public  Officers","3,000,000","2,200,000","15,000,000","—"
"","8","Administrative  Appeals  Tribunal","00901 Advances  to  Public  Officers","500,000","500,000","2,500,000","—"
"10","9","Commission  to  Investigate","","","","",""
"","","Allegations  of  Bribery  or","","","","",""
"","","Corruption","01001 Advances  to  Public  Officers","12,000,000","7,000,000","40,000,000","—"
"","1 0","Commision  to  Investigate","01002 Advancing  monies  to  be","","","",""
