"8 7","Department  of  Government","21101 Advances  to  Public  Officers","55,000,000","38,000,000","300,000,000","—",""
"","Printing","","","","","",""
"8 8","Department  of  Examinations","21201 Advances  to  Public  Officers","19,000,000","14,000,000","100,000,000","—",""
"8 9","Department  of  Educational","21301 Advances  to  Public  Officers","7,000,000","3,200,000","33,000,000","—",""
"","Publications","","","","","",""
"9 0","Department  of  Educational","21302    Printing,  Publicity  and","2,500,000,000","2,500,000,000","4,000,000,000","1,000,000,000",""
"","Publications","Sales of Publications","","","","",""
"9 1","Department  of  Technical","21501 Advances  to  Public  Officers","60,000,000","46,000,000","300,000,000","—",""
"","Education  and  Training","","","","","",""
"9 2","Department  of  Social","21601 Advances  to  Public  Officers","18,200,000","11,200,000","100,000,000","—",""
"","Services","","","","","",""
"9 3","Department  of  Probation","21701 Advances  to  Public  Officers","12,000,000","7,000,000","75,000,000","—",""
"","and  Child  Care  Services","","","","","",""
"9 4","Department  of  Commissioner","21801 Advances  to  Public  Officers","14,000,000","9,500,000","98,000,000","—",""
"","General  of  Samurdhi","","","","","","Appropriation Act, No. 23 of 2012"
"9 5","Department  of  Sports","21901 Advances  to  Public  Officers","8,000,000","4,000,000","38,000,000","—",""
"","Development","","","","","",""
"9 6","Department  of  Ayurveda","22001 Advances  to  Public  Officers","32,000,000","21,000,000","172,000,000","—",""
"9 7","Department  of  Labour","22101 Advances  to  Public  Officers","98,000,000","45,000,000","248,000,000","—",""
"9 8","Sri  Lanka  Army","22201 Advances  to  Public  Officers","2,450,000,000","1,750,000,000","4,600,000,000","—",""
"9 9","Sri  Lanka  Navy","22301 Advances  to  Public  Officers","500,000,000","280,000,000","1,000,000,000","—",""
"100","Sri  Lanka  Navy","22302    Stores  Advances  Account","535,000,000","540,000,000","450,000,000","—",""
"","(Explosive  items)","","","","","",""
"101","Sri  Lanka  Air  Force","22401 Advances  to  Public  Officers","510,000,000","415,000,000","1,739,000,000","—",""
"102 Department  of  Police","","22501 Advances  to  Public  Officers","1,580,000,000","1,250,000,000","5,120,000,000","—",""
"103 Department  of  Immigration","","22601 Advances  to  Public  Officers","29,000,000","21,000,000","154,000,000","—",""
"","and  Emigration","","","","","",""
"104 Department  of  Registration","","22701 Advances  to  Public  Officers","21,000,000","12,000,000","95,000,000","—",""
"","of  Persons","","","","","",""
"105 Courts  Administration","","22801 Advances  to  Public  Officers","348,000,000","166,000,000","880,000,000","—","47"
