"","","Rs.","Rs.","Rs.","Rs."
"106 Department  of  Debt","23101 Advances  to  Public  Officers","1,000,000","300,000","2,400,000","—"
"Conciliation  Board","","","","",""
"107 Department  of  Prisons","23201 Advances  to  Public  Officers","150,000,000","110,000,000","500,000,000","—"
"108 Department  of  Prisons","23202    Prisons  Industrial  and","90,000,000","115,000,000","30,000,000","12,000,000"
"","Agricultural  undertakings","","","",""
"109 Department  of  Government","23301 Advances  to  Public  Officers","7,000,000","3,500,000","32,000,000","—"
"Analyst","","","","",""
"110 Registrar  of  Supreme  Court","23401 Advances  to  Public  Officers","12,000,000","5,000,000","42,000,000","—"
"111
  Law  Commission  of","23501 Advances  to  Public  Officers","1,200,000","200,000","3,000,000","—"
"Sri  Lanka","","","","",""
"112 Department  of  Official","23601 Advances  to  Public  Officers","7,000,000","3,000,000","30,000,000","—"
"Languages","","","","",""
"113 Department  of  National","23701 Advances  to  Public  Officers","5,000,000","2,500,000","30,000,000","—"
"Planning","","","","",""
"114 Department  of  Fiscal  Policy","23801 Advances  to  Public  Officers","3,000,000","1,000,000","10,000,000","—"
"115 Department  of  External","23901 Advances  to  Public  Officers","4,500,000","2,500,000","32,000,000","—"
"Resources","","","","",""
"116 Department  of  National","24001 Advances  to  Public  Officers","8,000,000","3,800,000","37,000,000","—"
"Budget","","","","",""
"117 Department  of  Public","24101 Advances  to  Public  Officers","4,000,000","1,500,000","18,000,000","—"
"Enterprises","","","","",""
