"","","","Government","Activities  of the","Government","Government"
"","","","","Government","",""
"","","","Rs.","Rs.","Rs.","Rs."
"1","His  Excellency  the  President","00101 Advances  to  Public  Officers","23,000,000","12,500,000","100,000,000","—"
"2","Office  of  the  Prime  Minister","00201 Advances  to  Public  Officers","5,500,000","3,000,000","22,000,000","—"
"3","Secretariat  for  Special","00301 Advances  to  Public  Officers","4,000,000","900,000","11,000,000","—"
"","Functions  (Senior  Ministers)","","","","",""
"4","Judges  of  the  Superior  Courts","00401 Advances  to  Public  Officers","3,000,000","1,000,000","15,000,000","—"
"5","Office  of  the  Cabinet  of","00501 Advances  to  Public  Officers","3,000,000","2,400,000","14,000,000","—"
"","Ministers","","","","",""
"6","Public  Service  Commission","00601 Advances  to  Public  Officers","8,000,000","3,500,000","32,000,000","—"
"7","Judicial  Service  Commission","00701 Advances  to  Public  Officers","3,000,000","1,200,000","20,000,000","—"
"8","National  Police  Commission","00801 Advances  to  Public  Officers","1,800,000","1,100,000","12,000,000","—"
"9","Administrative  Appeals","00901 Advances  to  Public  Officers","1,000,000","200,000","3,400,000","—"
"","Tribunal","","","","",""
