"","","5","","",""
"Head","","","Recurrent","Capital","22"
"No.","","","Expenditure","Expenditure",""
"","","","Rs.","Rs.",""
"Head
311","Department  of  National  Physical  Planning","","","",""
"","Programme  01","Operational  Activities","145,135,000","1,270,000",""
"","Ministry  of  Social  Services","","","",""
"","Recurrent","","3,582,510,000","",""
"","Capital","","269,595,000","",""
"Made  up  as  follows  :—","","","","",""
"Head
124","Minister  of  Social  Services","","","",""
"","Programme  01","Operational  Activities","264,040,000","16,200,000",""
"","Programme  02","Development  Activities","2,988,550,000","219,470,000",""
"Head
216","Department  of  Social  Services","","","",""
"","Programme  01","Operational  Activities","99,530,000","20,950,000","Appropriation  Act, No. 23 of 2012"
"","Programme  02","Development  Activities","230,390,000","12,975,000",""
"","Ministry  of  Education","","","",""
"","Recurrent","30,500,490,000","","",""
"","Capital","","7,425,075,000","",""
"Made  up  as  follows  :—","","","","",""
"Head
126","Minister  of  Education","","","",""
"","Programme  01","Operational  Activities","561,740,000","110,550,000",""
"","Programme  02","Development  Activities","27,923,775,000","7,081,425,000",""
"Head
212","Department    of  Examinations","","","",""
"","Programme  02","Development  Activities","1,988,550,000","188,200,000",""
"Head
213","Department  of  Educational  Publications","","","",""
"","Programme  02","Development  Activities","26,425,000","44,900,000",""
