"Head","","","","Recurrent","Capital","34"
"No.","","","","Expenditure","Expenditure",""
"","","","","Rs.","Rs.",""
"Head","206","Department  of  Cultural  Affairs","","","",""
"","","Programme  01","Operational  Activities","79,150,000","7,500,000",""
"","","Programme  02","Development  Activities","236,370,000","144,800,000",""
"","","","Ministry    of  Coconut  Development  and  Janatha  Estate  Development","","",""
"","","Recurrent","","599,525,000","",""
"","","Capital","","1,035,800,000","",""
"Made  up  as  follows  :—","","","","","",""
"Head","178","","Minister  of  Coconut  Development  and  Janatha  Estate  Development","","",""
"","","Programme  01","Operational  Activities","62,525,000","15,800,000",""
"","","Programme  02","Development  Activities","537,000,000","1,020,000,000","Appropriation  Act, No. 23 of 2012"
"","","Ministry    of  Agrarian  Services  &  Wildlife","","","",""
"","","Recurrent","41,943,000,000","","",""
"","","Capital","","1,316,000,000","",""
"Made  up  as  follows  :—","","","","","",""
"Head","179","Minister  of  Agrarian  Services  &  Wildlife","","","",""
"","","Programme  01","Operational  Activities","76,265,000","13,650,000",""
"","","Programme  02","Development  Activities","37,866,840,000","129,450,000",""
"Head","281","Department  of  Agrarian  Development","","","",""
"","","Programme  01","Operational  Activities","229,385,000","56,000,000",""
"","","Programme  02","Development  Activities","3,238,900,000","474,000,000",""
"Head","284","Department  of  Wildlife  Conservation","","","",""
"","","Programme  01","Operational  Activities","531,610,000","642,900,000",""
