"","","Recurrent","1,300,000,000","",""
"","","Capital","","720,000,000",""
"Made  up  as  follows  :—","","","","",""
"Head","116","Minister  of  Co-operatives  and  Internal  Trade","","",""
"","","Programme  01","Operational  Activities","953,086,000","179,010,000"
"","","Programme  02","Development  Activities","—","271,385,000"
"Head","298","","Department  of  Measurement  Units,  Standards  and  Services","",""
"","","Programme  01","Operational  Activities","62,020,000","225,500,000"
"Head","300","Department  of  Food  Commissioner","","",""
"","","Programme  01","Operational  Activities","225,794,000","27,485,000"
"Head","301","","Department  of  Co-operative  Development  (Registrar  of  Co-operative  Societies)","",""
"","","Programme  01","Operational  Activities","47,130,000","15,750,000"
"Head","302","Co-operative  Employees  Commission","","",""
"","","Programme  01","Operational  Activities","11,970,000","870,000"
