"239","Department  of  External","Bretton  Woods
Programme  01-","","133,159,000    521,000,000","654,159,000"
"","Resources","Agreements  (Special  Provisions) Operational","","",""
"","","Law  No.  10  of  1978
Activities","","",""
"","","Asian  Development  Bank","","",""
"","","Agreement  (Ratification)  Act,","","",""
"","","No.  21  of  1966","","",""
"249","Department  of  Treasury","Foreign  Loans  Act,","Programme  01-          437,800,000,000    717,000,000,000     1,154,800,000,000","",""
"","Operations","No.  29  of  1957
Operational","","",""
"","","(section  2  Paragraphs  (a)  and
Activities","","",""
"","","(c),  Local  Treasury  Bills","","",""
"","","Ordinance  (Chapter  417)","","",""
"253","Department  of  Pensions","Widows’  and  Orphans’  Pension
Programme  01-","24,500,000,000","—","24,500,000,000"
"","","Fund  Ordinance  (Chapter  431),
Operational","","",""
"","","Widowers’  and
Activities","","",""
"","","Orphans’  Pensions  Act,","","",""
"","","No.  24  of  1983,","","",""
"","","Widows’  and  Orphans’","","",""
"","","Pension  Scheme(Armed  Forces)","","",""
"","","Act,  No.  18  of  1970,  School","","",""
"","","Teachers’  Pensions  Act","","",""
"","","(Chapter  432)","","",""
