"180 Department  of  Food","30001","Advances  to  Public  Officers","7,500,000","3,500,000","46,000,000","—"
"Commissioner","","","","","",""
"181 Department  of  Co-operative","30101","Advances  to  Public  Officers","6,000,000","2,000,000","22,000,000","—"
"Development  (Registrar","","","","","",""
"of  Co-operative  Societies)","","","","","",""
"182 Co-operative  Employees","30201","Advances  to  Public  Officers","2,000,000","300,000","6,000,000","—"
"Commission","","","","","",""
"183 Department  of  Textile","30301","Advances  to  Public  Officers","5,500,000","3,200,000","32,000,000","—"
"Industries","","","","","",""
"184 Department  of  Meteorology","30401","Advances  to  Public  Officers","13,000,000","5,500,000","70,000,000","—"
"185 Department    of  Up-Country","30501","Advances  to  Public  Officers","2,500,000","1,000,000","9,000,000","—"
"Peasantry  Rehabilitation","","","","","",""
"186 Department  of  Sri  Lanka","30601","Advances  to  Public  Officers","570,000,000","375,000,000","1,852,000,000","—"
"Railways","","","","","",""
"187 Department  of  Sri  Lanka","30602    Railway  Stores  Advance","","1,450,000,000","850,000,000","5,640,000,000","800,000,000"
"Railways","Account","","","","",""
"188 Department  of  Motor  Traffic","30701","Advances  to  Public  Officers","22,000,000","15,000,000","110,000,000","—"
"189 Department  of  Posts","30801","Advances  to  Public  Officers","700,000,000","480,000,000","2,700,000,000","—"
"190 Department  of  Buildings","30901","Advances  to  Public  Officers","20,000,000","12,000,000","85,000,000","—"
"191 Government  Factory","31001","Advances  to  Public  Officers","28,000,000","18,000,000","122,000,000","—"
"192 Government  Factory","31002","Government  Factory  Stores","120,000,000","120,000,000","10,000,000","20,000,000"
"","Advance Account","","","","",""
"193 Government  Factory","31003","Government  Factory  Work","260,000,000","280,000,000","180,000,000","5,000,000"
"","Done Advance Account","","","","",""
"194 Department  of  National","31101","Advances  to  Public  Officers","14,000,000","7,400,000","90,000,000","—"
"Physical  Planning","","","","","",""
