"","தவலபபு","்ிாிவு /அவமச்சு/","அதன்ைீழ் சசலவினததுக்கு","சசலவின","மீண்சடழும்","மூலதனச்","சமாததச்"
"","இல.","திவணக்ைளம் அலலது","அதிைாரமளிக்ைப்டுைின்ற","நிைழ்ச்சிததிட்டம்","சசலவினம்","சசலவினம்","சசலவினம்"
"","","நிறுவனததினால","அரசியலவமப்ினதும்","","ரூ்ா","ரூ்ா","ரூ்ா"
"","","உறப்ட்ட சசலவினம்","சட்டததினதும் ஏற்ாடு","","","",""
"","21","ைணக்ைாயவாளர அதி்தி","அரசியலவமப்ின் 153ஆம்","நிைழ்ச்சிததிட்டம் 01","1,700,000","","1,700,000"
"","","திவணக்ைளம்","உறுபபுவர","சசயலமுவறச்","","-",""
"","","","","சசயற்ாடுைள்","","",""
"","22","நிரவாைததிறைான","அரசியலவமப்ின் 156ஆம்","நிைழ்ச்சிததிட்டம் 01","1,700,000","","1,700,000"
"5","","்ாராளுமன்ற","உறுபபுவர","சசயலமுவறச்","","-",""
"","","ஆவணயாளர அலுவலைம்","","சசயற்ாடுைள்","","",""
"","23","ைணக்ைாயவு சசவவ","அரசியலவமப்ின் 153அ  ஆம்","நிைழ்ச்சிததிட்டம் 01","5,200,000","","5,200,000"
"","","ஆவணக்குழு","உறுபபுவர","சசயலமுவறச்","","-",""
"","","","","சசயற்ாடுைள்","","",""
"10","24","சதசிய ச்றுவை","அரசியலவமப்ின் 156ஆ ஆம்","நிைழ்ச்சிததிட்டம் 01","6,000,000","","6,000,000"
"","","ஆவணக்குழு","உறுபபுவர","சசயலமுவறச்","","-",""
"","","","","சசயற்ாடுைள்","","",""
"","111","சுைாதாரம் மறறும்","மருததுவக் ைட்டவளச்சட்டம்","நிைழ்ச்சிததிட்டம் 01","2,000","","2,000"
"","","சவகுசன ஊடை அவமச்சு","(105ஆம் அததியாயம்)","சசயலமுவறச்","","-",""
"","","","","சசயற்ாடுைள்","","",""
"15","","","","","","",""
"","249","திவறசசாி சசயற்ாடுைள்","1957 ஆம் ஆண்டின் 29ஆம்","நிைழ்ச்சிததிட்டம் 01","2,944,740,000,000","1,594,850,000,000","4,539,590,000,000"
"","","திவணக்ைளம்","இலக்ை, சவளிநாட்டுக்","சசயலமுவறச்","","",""
"","","","ைடன்ைள் சட்டம் ்நதி (அ)","சசயற்ாடுைள்","","",""
"","","","மறறும் (இ) ்ிாிவு (2), சதசிய","","","",""
"20","","","திவறசசாி  உண்டியலைள்","","","",""
"","","","ைட்டவளச் சட்டம்","","","",""
"","","","(அததியாயம் 417) 2018 ஆம்","","","",""
"","","","ஆண்டின் 8 ஆம் இலக்ை,","","","",""
"","","","தீவிரப ச்ாறுபபு முைாவமச்","","","",""
"25","","","சட்டததின் ்ிாிவு 6(1)","","","",""
"","253","ஓயவூதியத திவணக்ைளம்","விதவவைள் அநாவதைள்","நிைழ்ச்சிததிட்டம் 01","77,000,000,000","","77,000,000,000"
"","","","ஓயவூதியச் சட்டம், (431ஆம்","சசயலமுவறச்","","-",""
"","","","அததியாயம்) 1983 ஆம்","சசயற்ாடுைள்","","",""
"","","","ஆண்டின் 24 ஆம் இலக்ை,","","","",""
"30","","","விதவவைள் அநாவதைள்","","","",""
"","","","ஓயவூதிய நிதியக் ைட்டவளச்","","","",""
"","","","சட்டம், 1970 ஆம் ஆண்டின்","","","",""
"","","","18 ஆம் இலக்ை, விதவவைள்","","","",""
"","","","அநாவதைள் ஓயவூதிய நிதியச்","","","",""
"35","","","சட்டம், (்வடக்ைலன் தாஙைிய","","","",""
"","","","சசவவைள்), ்ாடசாவல","","","",""
"","","","ஆசிாியரைளின் ஓயவூதியச்","","","",""
"","","","சட்டம் (432 ஆம் அததியாயம்)","","","",""
"","","","","","3,021,901,982,000","1,594,850,000,000","4,616,751,982,000"
