"","சதாடர","அவமச்சு / திவணக்ைளம்","சசலவின","","I","II","III","IV","V","42"
"","இல.","","இல.","","அரச சசயற்ாடுைள்","அரசாஙைததின்","அரச","அரச","அரச",""
"","","","","","","சசயற்ாடுைளின்","சசயற்ாட்டு","சசயற்ாட்டு","சசயற்ாட்டு",""
"","","","","","","சசலவினததின்","வரவிறைான","்றறு மீதிக்ைான","ச்ாறுபபுைளின்",""
"","","","","","","உச்ச எலவலைள்","ஆைக் குவறநத","உச்ச எலவலைள்","உச்ச எலவலைள்",""
"","","","","","","","எலவலைள்","","",""
"","","","","","","ரூ்ா","ரூ்ா","ரூ்ா","ரூ்ா",""
"","104","மாவட்டச் சசயலைம் -","25501","","அரச அலுவலரைளுக்ைான","120,000,000","85,000,000","456,000,000","","-"
"","","சைாழும்பு","","முற்ணம்","","","","","",""
"","105","மாவட்டச் சசயலைம்,","25601","","அரச அலுவலரைளுக்ைான","140,000,000","150,000,000","550,000,000","","-"
"","","ைம்்ஹா","","முற்ணம்","","","","","",""
"5","106","மாவட்டச் சசயலைம்,","25701","","அரச அலுவலரைளுக்ைான","130,000,000","110,000,000","350,000,000","","-"
"","","ைளுததுவற","","முற்ணம்","","","","","",""
"","107","மாவட்டச் சசயலைம்,","25801","","அரச அலுவலரைளுக்ைான","150,000,000","115,000,000","430,000,000","","-"
"","","ைண்டி","","முற்ணம்","","","","","",""
"","108","மாவட்டச் சசயலைம்,","25901","","அரச அலுவலரைளுக்ைான","85,000,000","75,000,000","330,000,000","","-"
"","","மாததவள","","முற்ணம்","","","","","",""
"10","","","","","","","","","",""
"","109","மாவட்டச் சசயலைம்,","26001","","அரச அலுவலரைளுக்ைான","65,000,000","55,000,000","245,000,000","","ஒதுக்கீடு
 -"
"","","நுவசரலியா","","முற்ணம்","","","","","",""
"","110","மாவட்டச் சசயலைம்,","26101","","அரச அலுவலரைளுக்ைான","145,000,000","125,000,000","500,000,000","","-"
"","","ைாலி","","முற்ணம்","","","","","",""
"15","111","மாவட்டச் சசயலைம் ,","26201","","அரச அலுவலரைளுக்ைான","130,000,000","115,000,000","260,000,000","","-"
"","","மாததவற","","முற்ணம்","","","","","",""
"","112","மாவட்டச் சசயலைம் ,","26301","","அரச அலுவலரைளுக்ைான","85,000,000","76,000,000","250,000,000","","-"
"","","அம்்ாநசதாட்வட","","முற்ணம்","","","","","",""
"","113","மாவட்டச் சசயலைம் /","26401","","அரச அலுவலரைளுக்ைான","100,000,000","85,000,000","280,000,000","","-"
"20","","ைச்சசாி - யாழ்ப்ாணம்","","முற்ணம்","","","","","",""
"","114","மாவட்டச் சசயலைம் /","26501","","அரச அலுவலரைளுக்ைான","30,000,000","20,000,000","80,000,000","","-"
"","","ைச்சசாி - மன்னார","","முற்ணம்","","","","","",""
"","115","மாவட்டச் சசயலைம் /","26601","","அரச அலுவலரைளுக்ைான","40,000,000","22,000,000","100,000,000","","-"
"","","ைச்சசாி - வவுனியா","","முற்ணம்","","","","","",""
"25","116","மாவட்டச் சசயலைம் /","26701","","அரச அலுவலரைளுக்ைான","48,000,000","20,000,000","120,000,000","","-"
"","","ைச்சசாி -முலவலததீவு","","முற்ணம்","","","","","",""
"","117","மாவட்டச் சசயலைம் /","26801","","அரச அலுவலரைளுக்ைான","44,000,000","20,000,000","100,000,000","","-"
"","","ைச்சசாி - ைிளிசநாச்சி","","முற்ணம்","","","","","",""
