"","சதாடர","அவமச்சு / திவணக்ைளம்","சசலவின","","I","II","III","IV","44
V"
"","இல.","","இல.","","அரச சசயற்ாடுைள்","அரசாஙைததின்","அரச","அரச","அரச"
"","","","","","","சசயற்ாடுைளின்","சசயற்ாட்டு","சசயற்ாட்டு","சசயற்ாட்டு"
"","","","","","","சசலவினததின்","வரவிறைான","்றறு மீதிக்ைான","ச்ாறுபபுைளின்"
"","","","","","","உச்ச எலவலைள்","ஆைக் குவறநத","உச்ச எலவலைள்","உச்ச எலவலைள்"
"","","","","","","","எலவலைள்","",""
"","","","","","","ரூ்ா","ரூ்ா","ரூ்ா","ரூ்ா"
"","136","ைாணி ஆவணயாளர","28601","","அரச அலுவலரைளுக்ைான","26,000,000","20,000,000","85,000,000","-"
"","","நாயைம் திவணக்ைளம்","","முற்ணம்","","","","",""
"","137","ைாணி உாிதது நிரணய","28701","","அரச அலுவலரைளுக்ைான","50,000,000","28,000,000","140,000,000","-"
"","","திவணக்ைளம்","","முற்ணம்","","","","",""
"5","138","இலஙவை நில","28801","","அரச அலுவலரைளுக்ைான","220,000,000","135,000,000","700,000,000","-"
"","","அளவவயாளர நாயைம்","","முற்ணம்","","","","",""
"","","திவணக்ைளம்","","","","","","",""
"","139","ஏறறுமதி ைமதசதாழில","28901","","அரச அலுவலரைளுக்ைான","55,000,000","45,000,000","200,000,000","-"
"","","திவணக்ைளம்","","முற்ணம்","","","","",""
"10","140","ைடறசறாழில மறறும்","29001","","அரச அலுவலரைளுக்ைான","25,000,000","25,000,000","130,000,000","-"
"","","நீரை வளமூலஙைள்","","முற்ணம்","","","","",""
"","","திவணக்ைளம்","","","","","","","ஒதுக்கீடு"
"","141","ைவரசயாரம் ச்ணல","29101","","அரச அலுவலரைளுக்ைான","15,000,000","11,000,000","60,000,000","-"
"","","மறறும் ைவரசயார","","முற்ணம்","","","","",""
"15","","மூலவள முைாவமததுவ","","","","","","",""
"","","திவணக்ைளம்","","","","","","",""
"","142","ைாலநவட உற்ததி","29201","","அரச அலுவலரைளுக்ைான","35,000,000","25,000,000","110,000,000","-"
"","","மறறும் சுைாதாரத","","முற்ணம்","","","","",""
"","","திவணக்ைளம்","","","","","","",""
"20","143","இறப்ர அ்ிவிருததித","29301","","அரச அலுவலரைளுக்ைான","21,000,000","20,000,000","80,000,000","-"
"","","திவணக்ைளம்","","முற்ணம்","","","","",""
"","144","சதசிய மிருைக்ைாட்சி","29401","","அரச அலுவலரைளுக்ைான","40,000,000","20,000,000","120,000,000","-"
"","","சாவலைள் திவணக்ைளம்","","முற்ணம்","","","","",""
"","145","வரததைத திவணக்ைளம்","29501","","அரச அலுவலரைளுக்ைான","3,000,000","2,500,000","20,000,000","-"
"25","","","","முற்ணம்","","","","",""
"","146","இறக்குமதி மறறும்","29601","","அரச அலுவலரைளுக்ைான","8,000,000","5,000,000","25,000,000","-"
"","","ஏறறுமதிக் ைட்டுப்ாட்டுத","","முற்ணம்","","","","",""
"","","திவணக்ைளம்","","","","","","",""
"","147","ைம்்னிைள் ்திவாளர","29701","","அரச அலுவலரைளுக்ைான","8,000,000","6,000,000","35,000,000","-"
"30","","திவணக்ைளம்","","முற்ணம்","","","","",""
