"","சதாடர","அவமச்சு / திவணக்ைளம்","சசலவின","I","II","III","IV","V","","46"
"","இல.","","இல.","அரச சசயற்ாடுைள்","அரசாஙைததின்","அரச","அரச","அரச","",""
"","","","","","சசயற்ாடுைளின்","சசயற்ாட்டு","சசயற்ாட்டு","சசயற்ாட்டு","",""
"","","","","","சசலவினததின்","வரவிறைான","்றறு மீதிக்ைான","ச்ாறுபபுைளின்","",""
"","","","","","உச்ச எலவலைள்","ஆைக் குவறநத","உச்ச எலவலைள்","உச்ச எலவலைள்","",""
"","","","","","","எலவலைள்","","","",""
"","","","","","ரூ்ா","ரூ்ா","ரூ்ா","ரூ்ா","",""
"","163","சதசிய ச்ௌதீைத","31101","அரச அலுவலரைளுக்ைான","15,000,000","9,200,000","50,000,000","","-",""
"","","திட்டமிடல திவணக்ைளம்","","முற்ணம்","","","","","",""
"","164","சிவில ்ாதுைாபபுத","32001","அரச அலுவலரைளுக்ைான","450,000,000","350,000,000","900,000,000","","-",""
"","","திவணக்ைளம்","","முற்ணம்","","","","","",""
"","165","சதசிய தாவரவியல","32201","அரச அலுவலரைளுக்ைான","30,000,000","27,000,000","110,000,000","","-",""
"5","","","","","","","","","",""
"","","பூஙைாக்ைள் திவணக்ைளம்","","முற்ணம்","","","","","",""
"","166","சட்ட அலுவலைள்","32301","அரச அலுவலரைளுக்ைான","1,000,000","675,000","4,000,000","","-",""
"","","திவணக்ைளம்","","முற்ணம்","","","","","",""
"","167","முைாவமததுவ","32401","அரச அலுவலரைளுக்ைான","3,000,000","2,500,000","10,000,000","","-",""
"10","","ைணக்ைாயவுத","","முற்ணம்","","","","","",""
"","","திவணக்ைளம்","","","","","","","","ஒதுக்கீடு"
"","168","சமுதாய அடிப்வட","32601","அரச அலுவலரைளுக்ைான","60,000,000","14,000,000","150,000,000","","-",""
"","","சீரதிருததத  திவணக்ைளம்","","முற்ணம்","","","","","",""
"","169","ைாணிப ்யன்்ாட்டுக்","32701","அரச அலுவலரைளுக்ைான","20,000,000","17,000,000","75,000,000","","-",""
"15","","சைாள்வை திட்டமிடல","","முற்ணம்","","","","","",""
"","","திவணக்ைளம்","","","","","","","",""
"","170","மனிதவலு மறறும் சவவல","32801","அரச அலுவலரைளுக்ைான","30,000,000","22,000,000","100,000,000","","-",""
"","","வாயபபுத திவணக்ைளம்","","முற்ணம்","","","","","",""
"","171","தைவல சதாழிலநுட்்","32901","அரச அலுவலரைளுக்ைான","4,000,000","2,500,000","12,000,000","","-",""
"20","","முைாவமததுவத","","முற்ணம்","","","","","",""
"","","திவணக்ைளம்","","","","","","","",""
"","172","சமுரததி அ்ிவிருததித","33101","அரச அலுவலரைளுக்ைான","260,000,000","205,000,000","360,000,000","","-",""
"","","திவணக்ைளம்","","முற்ணம்","","","","","",""
"","173","சதசிய சமுதாய நீர","33201","அரச அலுவலரைளுக்ைான","30,000,000","12,000,000","150,000,000","","-",""
"25","","வழஙைல திவணக்ைளம்","","முற்ணம்","","","","","",""
"","174","சைாம்சராலர நாயைம்","33301","அரச அலுவலரைளுக்ைான","5,000,000","2,000,000","9,000,000","","-",""
"","","அலுவலைம்","","முற்ணம்","","","","","",""
"","175","சதசிய ைலவி","33501","அரச அலுவலரைளுக்ைான","4,000,000","1,000,000","8,000,000","","-",""
"","","ஆவணக்குழு","","முற்ணம்","","","","","",""
