",y.","","FwpaPL","","FwpaPL","","t
jk;",""
"","","","","","(",",yq;if &ghtpy;)",""
"39.","rt{jp mNugpah","SA","rt{jp mNugpah wpahy;","SAR","","","81.5404"
"40.","r
Pnry;];","SC","rPnry;]; &gha;","SCR","","","20.0907"
"41.","rpq;fg;G{u;","SG","rpq;fg;G{u; nlhyu;","SGD","","","238.4476"
"42.","njd; Mgpupf;fh","ZA","njd; Mgpupf;fh nud;l;","ZAR","","","17.6147"
"43.","RtPld;","SE","RtPb\; FNuhzu;","SEK","","","32.6658"
"44.","Rtpw;ru;yhe;J","CH","Rtp]; gpuhq;","CHF","","","385.5869"
"45.","jha;thd;","TW","jha;thd; nlhyu;","TWD","","","10.1527"
"46.","jha;yhe;J","TH","jha;yhe;J ghj;","THB","","","9.5865"
"47.","If;fpa muG ,uhr;rpak;","AE","If;fpa muG ,uhr;rpak;","","","",""
"","","","jpu;fhk;","AED","","","83.2575"
"48.","If;fpa ,uhr;rpak;","G B","];Nuypq; gTz;","GBP","","","414.0195"
"49.","If;fpa mnkupf;fh ehLfs;","US","mnkupf;fd; nlhyu;","USD","","","305.8090"
"50.","rk;gpah (gioa)","ZM","rk;gpah f;tr;rh (gioa)","ZMK","","","0.0589"
"51.","rk;gpah (Gjpa)","ZM","rk;gpah f;tr;rh (Gjpa)","ZMW","","","12.9717"
"52.","rpk;ghNg","ZW","rpk;ghNg nlhyh;","ZWD","","","0.8058"
