"njhlu;","ehL","ehl;Lf;","ehzak;","ehzaf;","nryhtzp"
",y.","","FwpaPL","","FwpaPL","t
jk;"
"","","","","","(
 
&gh;)"
"1.","mT];jpNuypah","AU","mT];jpNuypad; nlhyu;","AUD","202.0786"
"2.","g`;Nud;","BH","g`;Nud; jpdhu;","BHD","811.0031"
"3.","gq;fshNj\;","BD","gq;fshNj\; lhf;fh","BDT","2.5128"
"4.","gpNwrpy;","BR","gpNwrpy; wpay;","BRL","57.6400"
"5.","GW}iz","BN","GW}iz  nlhyu;","BND","238.4476"
"6.","fdlh","CA","fNdbad; nlhyu;","CAD","221.6088"
"7.","rPdh","C N","rPdh a{thd; (xg;N\h)","CNH","42.9893"
"8.","rPdh","C N","rPdh a{thd; (nud;kpd;gp)","CNY","42.9806"
"9.","nrf;Nfh];rpNyhthf;fpah","C Z","nrf;Nfh];rpNyhthf;fpah","",""
"","","","nfhWdh","CZK","14.8242"
"10.","nld;khu;f;","DK","ldp\; FNuhzu;","DKK","48.2623"
"11.","vfpg;J","E G","vfpg;J gTz;","EGP","6.3459"
"12.","A{Nuh tyak;","","A{Nuh","EUR","360.2124"
"13.","fhdh","GH","fhdh rPb","GHS","24.9233"
"14.","n`hq;nfhq;","HK","n`hq; nfhq; nlhyu;","HKD","39.3205"
"15.","`q;Nfup","HU","`q;Nfup Nghupd;l;","HUF","0.9246"
"16.",",e;jpah","IN",",e;jpa &gh","INR","3.4679"
"17.",",e;NjhNd\pah","ID",",e;NjhNd\pad; Wgpah","IDR","0.0185"
"18.","<uhd;","IR","<uhd; wpahy;","IRR","0.0073"
"19.","[g;ghd;","JP","[g;ghdpa nad;","JPY","2.0665"
"20.","N[hu;jhd;","JO","N[hu;jhd; jpdhu;","JOD","431.3244"
"21.","nfhupah","KR","nfhupad; nthd;","KRW","0.2194"
"22.","Fitj;","KW","Fitj; jpdhu;","KWD","1,001.7000"
"23.","kf;fhc","MO","kf;fhc glhfh","MOP","38.1546"
"24.","kNyrpah","MY","kNyrpah wpd;[pw;","MYR","72.6819"
"25.","khiyjPT","MV","khiyjPT Wg;gpah","MVR","19.7807"
"26.","nkhwPrpa];","MU","nkhwPrpa]; &gh","MUR","6.7567"
"27.","kpad;khu;","MM","kpad;khu; fpahj;","MMK","0.1456"
"28.","Neghsk;","NP","Neghsk; &gha;","NPR","2.1687"
"29.","epA{rpyhe;J","NZ","epA{rpyhe;J nlhyu;","NZD","179.9074"
"30.","ie[Pupah","NG","ie[Pupah iewh","NGN","0.2047"
"31.","Nehu;Nt","NO","Nehu;Nt FNuhd;","NOK","30.9040"
"32.","Xkhd;","OM","Xkhd; wpahy;","OMR","794.2472"
"33.","ghfp];jhd;","PK","ghfp];jhd; &gha;","PKR","1.0776"
"34.","gg;Tth epA{fpdpah","PG","gg;Tth epA{ fpdpah fpdh","PGK","73.2413"
"35.","gpypg;igd;];","PH","gpypg;igd;]; ngNrh","PHP","5.3484"
"36.","Nghye;J","PL","Nghye;J ];Nyhl;b","PLN","84.5325"
"37.","fl;lhu;","QA","fl;lhu; wpahy;","QAR","83.8936"
"38.","u\;ah","RU","u\;ah &gpy;","RUB","3.6734"
