"","i.","When the entire collection is not exposed or displayed for sale for more than two hours, or"
"","Ii.","During the time between preparation and serving."
"(B) Pastries, patties, sauces, pizzas and similar dishes containing all cooked meat or fish, which are generally","",""
"","","eaten  in  the  same  condition  as  that  sold,  shall  be  stored  in  covered  containers.  Otherwise,  it  should  be"
"","","stored separately in foods that are not in a sealed container or completely covered in a container,  or in a"
"","container.",""
"(","C)  Milk  should  not  be  kept  in  a  feeder  premises  unless  it  is  stored  in  a  refrigerator  at  temperatures  not",""
"","exceeding 7 degrees Celsius.",""
"(","F)  All  fruits  and  vegetables  that  may  be  eaten  at  the  time  of  delivery  shall  be  washed  and  cleaned  before",""
"","being delivered to the consumer.",""
"(","E)  Any food shall be placed directly on the ground and shall be placed on a platform of suitable material at",""
"","","least  45 cm  height  above  the floor  where  it  can  be  cleaned  under the  platform  where it  is displayed and"
"","","stored and its platform should be lowered to the ends. The distance should be 23 cm. The platform must be"
"","","located at least 23 cm away from the wall, except that the rats or any type of insect must be covered under"
"","the platform.",""
"(","F)  Vegetable  vegetables  should  be  kept  in  well-ventilated,  adequate  lighting,  without  any  mice,  or  in  any",""
"","other room or refrigerator or cooler room.",""
