"38 A","IV(අ)  ෙක(cid:675)ටස - (cid:636) ලංකා (cid:541)ජාතා(cid:486)(cid:437)ක සමාජවා(cid:463) ජනරජෙ(cid:591) අ(cid:431) (cid:618)ෙශෂ ගැස(cid:376) ප(cid:436)ය - 2019.12.05"
"","PART  IV(A) – GAZETTE EXTRAORDINARY OF THE DEMOCRATIC SOCIALIST REPUBLIC OF SRI LANKA – 05.12.2019"
"17.","Any license holder who receives a notice as set out in section 16 of this article shall act in such manner as may be"
"","prescribed  by  such  license  prior  to  the  date  specified  by  such notice.  The  Chairman  shall have  the  authority  to"
"","extend  the  time  specified  in  such  notice  upon  a  reasonable  written  request  by  the  client.    The  period  must  not"
"","exceed fourteen days."
"18.","Any Licensee who has received a Notice as set forth in Section 16  hereof shall have canceled the License issued"
"","to the relevant premises in the event of failure to act in the manner specified in that Notice or before the Extended"
"","Date shall be legalized."
"19.","Sub-section  122  (2)  of  the  Pradeshiya  Sabha  Act  No.  15  of  1987  provides  that  it  is  an  offense  to  maintain"
"","premises without a permit under this by-law or to violate any of the provisions of the by-law.  Be subject to a fine."
"","A  person  who has  been  convicted  of  an  offense  by  a  court of  competent  jurisdiction  over  that  offense has  been"
"","liable to a fine and Every day that the violation is continued after a written notice is given by the Chairman, the"
"","Medical  Officer  of  Health  or  the  Public  Health  Inspector,  with  the  attention  of  the  violator  continuing  for  the"
"","same, an additional fine of the said clause shall be liable."
"20.","In this by-law, unless it is otherwise necessary to another meaning for the words"
"","The word ""Chairman"" to the person holding the office of Chairman of this Pradeshiya Sabha or the person, who"
"","performs the duties of the post,"
"","""Pradeshiya Sabha"" shall mean Godakawela Pradeshiya Sabha,"
"","shall  mean  the  person  holding  the  office  in  any  of  the  Divisional  Health  Medical 
""Health  Medical  Officer"""
"","Officers' Division in that period,"
"","""Public Health Inspector"" shall mean any person holding such office in any of the Public Health Inspectors area"
"","within the area of authority of the Public Health Inspector in that period."
"","""Authorized Officer"" shall mean any officer duly authorized by the Chairman in writing in that period,"
"","""Licensee"" shall mean an entity or person or persons, who have obtained a license under this by-law,"
"","""Pesticides"" shall mean pesticides approved by the Registrar of Pesticides of Sri Lanka."
"","Cleaning""  shall  mean  the  removal  of  soil,  dirty  food,  greece,  garbage    or  other  harmful  external  substances"
"","deposited ,"
"","""Contaminants""  shall  mean  certain  substances  or  other  substances  which  may  affect  the  safety  or  suitability  of"
"","vegetables or fruits."
"","""Combustion"" shall mean combining or causing combustion of vegetables and fruits."
"","""Disinfectant"" shall mean reducing the amount of microorganisms in the environment through chemical agents or"
"","physical means to the level that does not reduce the safety or appropriateness of food,"
"","""Drinking Water"" shall mean water sufficiently free of contaminants to cause disease or adverse physical effects"
"","and Contains bacterial and chemical conditions that meet national standards,"
"","""Reasonable Time"" shall mean to a time when the license work or related work is done."
"21.","If  there  is  any  compatibility  between  Sinhala,  Tamil  and  English  texts  of  this  by-law,  the  Sinhala  text  shall"
"","prevail."
