"16 A","IV(අ)  ෙක(cid:675)ටස - (cid:636) ලංකා (cid:541)ජාතා(cid:486)(cid:437)ක සමාජවා(cid:463) ජනරජෙ(cid:591) අ(cid:431) (cid:618)ෙශෂ ගැස(cid:376) ප(cid:436)ය - 2019.12.05"
"","PART  IV(A) – GAZETTE EXTRAORDINARY OF THE DEMOCRATIC SOCIALIST REPUBLIC OF SRI LANKA – 05.12.2019"
"I certify that the above information is true and correct.",""
"I request you to issue a Trade License for the year of ………………. I agree with the existing rules on this.",""
"","........................"
"Date: -","Signature of the applicant"
"","-------------------------------------------------------------------------------------------------------------------------------------------------"
"For office use",""
"Revenue Inspector,",""
"","Kindly request to provide you with your observations and recommendations for the issuance of a trade license in respect"
"of the application mentioned in the background.",""
