"ෙක.ටෙසg","","ස)k]ණ නම/න) සහ L(cid:28)නය","හ
ැ
lN)ප&  ඉඩෙ)  ප(cid:10)%ය සහ","උකස් සහ බැm)","න) ඒ (cid:28)oබඳ"
"අංකය","","","අ
ං
කය 
(cid:7)මාණය  ස්වභාවය","(cid:28)oබඳ cස්තර","cස්තර"
"","———————————————————————————————————————————————————————————————————————————————————-","","","",""
"(","ෙහ;ටයා])","","","",""
"59","0.0628","රජය","– 
ස)k]ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"60","0.0251","රජය","– 
ස)k]ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"61","0.0993","රජය","– 
ස)k]ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"62","0.1079","රජය","– 
ස)k]ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"63","0.0175","රජය","– 
ස)k]ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"64","0.1883","රජය","– 
ස)k]ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"65","0.0542","රජය","– 
ස)k]ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"66","0.0088","රජය","– 
ස)k]ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"67","0.0365","රජය","– 
ස)k]ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"1
1-1228/5","","","","",""
