"76 A","IV(අ)  ෙක(cid:675)ටස - (cid:636) ලංකා (cid:541)ජාතා(cid:486)(cid:437)ක සමාජවා(cid:463) ජනරජෙ(cid:591) අ(cid:431) (cid:618)ෙශෂ ගැස(cid:376) ප(cid:436)ය - 2019.12.05"
"","PART  IV(A) – GAZETTE EXTRAORDINARY OF THE DEMOCRATIC SOCIALIST REPUBLIC OF SRI LANKA – 05.12.2019"
"12.","After providing service to any customer who has recently served a person suffering from any form of infection,"
"","contact or dermatitis;"
"","i.  
The  service  provider  shall  not  allow  or  serve  any  other  client  unless  he  has  cleaned  his  hands  with  a"
"","disinfectant."
"","ii.   You  shall not use  or  permit  any  client  to  use  such  equipment unless  sterilized and  any  used  towels  and"
"","binoculars have been washed with disinfectant and soap."
"13.","Every employee employed in licensed premises,"
"","i.  
To be employed only in good hygiene,"
"","ii.   Ensuring that the clothes and clothing are in clean and hygienic condition,"
"","iii.  Ensuring that the jewelry worn with its nails and accessories is kept to the client's risk, and"
"","iv.  The licensee's job is to ensure that each client is washed with soap or other disinfectant before serving."
"14.","The  Licensee  shall not  use  any  towel  that  is not  clean  for the  first time  after  being  washed  or  cleaned  by  the"
"","Licensee at any licensed premises."
"15.","In the event of an emergency in the case of an employee or client, an appropriate arrangement should be made"
"","for prompt treatment and advice, and the employees and employers should be informed in advance of such an"
"","action."
"16.","All permits issued under this by-law shall expire on or after 31st December of the year in which the license was"
"","issued, unless previously revoked."
"17.","Every Sinhala and Tamil and English copy of this by-law shall be displayed in public premises in a public place"
"","in every premises subject to a license under this by-law."
"18.","Where  a  beauty  center  has  been  issued  under  this  by-law,  a  licensee  shall  be  required  to  comply  with  all  the"
"","requirements to make the place in accordance with the relevant regulations before the date specified in the event"
"","of violation of any of the provisions of this by-law. The licensee Information should be handed over to be made."
"","The maximum period of notice from such advertisement shall not exceed 30 days."
"19.","Any licensee who has received a notice of the type referred to in section 18 hereof shall act in accordance with"
"","the notice as set forth in that notice. The Chairperson shall be entitled to extend the specified period of notice of"
"","such notice upon a reasonable written request by the Licensee. However, the extension period should not exceed"
"","14 days."
"20.","In the event that any licensee who has received an advertisement of the type referred to in paragraph 18 hereof"
"","has failed to act in the manner specified in that notice or before the date of such extension, the chairman shall"
"","revoke the license issued to the relevant place. Must be legal."
"21.","Any  licensee,  except  as  authorized  by  the  Chairman,  the  Medical  Officer  of  Health  or  the  Public  Health"
"","Inspector or any other authority authorized by the Chairman, to obtain any food, liquid or any other substance in"
"","the premises for the purpose of payment of the prescribed value. Refuse to  buy or accept the offer should not"
"","interfere in."
"22.","The Licensee shall give every reasonable support to the Chairman, the Medical Officer of Health or the Public"
"","Health Inspector or any other officer authorized by the Chairman, at any reasonable time to check the terms of"
"","this by-law."
"23.","It is an offense to maintain premises without a license to be obtained under this by-law or in violation of any of"
"","the  provisions  of  the  by-law.  (2) Subject  to  a  fine referred to  in  subsection  (2). When a  person  who has  been"
"","convicted  of  an  offense  continues  to  pursue  such  violation or  violation, a  written notice  shall  be  given  by  the"
"","Chairman, the Medical Officer of Health or the Public Health Inspector. Each day the violation continues after"
"","receiving Promotion are subject to the above said article and an additional fine."
