"68 A","IV(අ)  ෙක(cid:675)ටස - (cid:636) ලංකා (cid:541)ජාතා(cid:486)(cid:437)ක සමාජවා(cid:463) ජනරජෙ(cid:591) අ(cid:431) (cid:618)ෙශෂ ගැස(cid:376) ප(cid:436)ය - 2019.12.05"
"","PART  IV(A) – GAZETTE EXTRAORDINARY OF THE DEMOCRATIC SOCIALIST REPUBLIC OF SRI LANKA – 05.12.2019"
"05.(4)","Organisms must not rely on all equipment for storing, displaying, and selling fish, and must not transmit toxic"
"","substances to fish or emit toxic gases."
"05.(5)","Light bulbs and fixtures on top of fish for sale must be in safety condition and covered."
"05.(6)","The floor should be made of waterproof, non-absorbent, washable and non-slippery material with fine opening"
"","and should be easy to clean and disinfect. The slopes shall be of sufficient size to allow material to flow out of"
"","the site."
"05.(7)","The  walls  should  be  made  of  waterproof,  non-absorbent  material  and  the  walls  should  be  free  of  pores  and"
"","insects. The walls should be smooth to the height of the operation and should not have delicate openings. They"
"","should also be easy to clean and disinfect."
"05.(8)","Surfaces that are in direct contact with the fish should be in good condition, durable and easy to clean, maintain"
"","and disinfect."
"05.(9)","There should be a ceiling or well-finished concrete roof above the fish stall and should be designed, constructed"
"","and finished to minimize condensation and prevent ceiling molding and cracking, to prevent dirt accumulation"
"","in the ceiling or concrete roof. Should be."
"","05.(10)  The  windows  should  be  easily  cleaned  and  constructed  to  minimize  dirt  accumulation.  They  should  also  be"
"","removable and clean, and insect-free nets must be installed and the windows installed as needed."
"","05.(11)  All  structures  and  fixtures  and  fixtures  above  the  fish  stall  must  be  installed  to  prevent  direct  and  indirect"
"","combustion of the fish by condensation and leakage, and shall not interfere with cleaning. It should be designed"
"","and finished to prevent dirt accumulation, mold build-up, and pallets."
"","05.(12)  The  drainage  should  be  adequate  to  ensure  that  it  does  not  flow  and  does  not  flow  back  and  should  be"
"","constructed to prevent combustion."
"","05.(13)  Sufficient measures must be taken to prevent wastewater and sewage from flowing into any public  waterway,"
"","sewer and open ground."
"","05.(14)  The sewage pit, where the wastewater is drained, should not be exposed to the suction pit and the groundwater"
"","should not be contaminated."
"05.(15)  The sewage pit, where sewage and sewage is flowing, must be built to an approved standard.",""
"05.(16)  Absorbents must be located at least 15.25 m away from any source of water.",""
"","05.(17)  When a Pradeshiya Sabha intends to open a fish market in an area not covered by Solid Waste Management, the"
"","license  applicant  should  not 
issue  a  formal  waste  disposal  procedure  approved  by 
the  Chairman  of 
the"
