"","gFjp  I : njhFjp (I) - ,yq;ifr; rdehaf Nrhryprf; FbauR tu;j;jkhdg; gj;","",";jpupif - mjp tpNr\khdJ - 2019.12.05"
"I
.","II.","III.","IV."
",
.
g
.
jiyg;G",",
.
K
.
FwpaPL","t
p
guk;","rYif"
"","","","t
p
f
p
jk;"
"","2804.50","Nghud;> njY}hpak;",""
"","2804.50.90","gpw","tpyf;fspg;G"
"","","rpypf;fd; :",""
"","2804.61","epiwf;F 99.99%tPjj;jpw;F Fiwtpy;yhj rpypf;fidf; nfhz;bUg;git","tpyf;fspg;G"
"","2804.80","Mrdpf;F","tpyf;fspg;G"
"","2804.90","nrydpak; :",""
"","2804.90.10","fopTk; JZf;Fk;","tpyf;fspg;G"
"28.05","","fhu cNyhfq;fs; my;yJ fhukz; cNyhfq;fs; mtw;wpw;F ,ilapy;",""
"","","fyf;fg;glhj  my;yJ  mtw;wpw;F  ,ilapy;  Nrh;f;fg;glhj  mUkz;",""
"","","cNyhfq;fs; ];fz;bak; ,aw;wpKk; : ghj ,urk;",""
"","","fhu cNyhfq;fs; my;yJ fhukz; cNyhfq;fs;:",""
"","2805.12","fy;rpak;","tpyf;fspg;G"
"","2805.19","gpw","tpyf;fspg;G"
"28.06","","Ijurd;  FNshiul;  (IjNuhFNshhpf;  mkpyk;)  FNshNuh  ry;g{hpf;",""
"","","mkpyk;.",""
"","2806.20","FNshNuh ry;g{hpf; mkpyk;","tpyf;fspg;G"
"28.09","",",UnghRgu]; Ie;njhl;irl;Lk;: ngh];nghpf;fkpyKk;",""
"","","nghypnghRnghpf; mkpyq;fSk;.",""
"","2809.10",",U ngh];gu]; ngd;uhxf;irl;L","tpyf;fspg;G"
"28.11","","gpw mNrjd mkpyq;fSk; cNyhfky;yhjdtw;wpd; Vida",""
"","","mNrjd xl;rp[d;  Nrh;itfSk;..",""
"","","gpw mNrjd mkpyq;fs; :",""
"","2811.11","Ijurd; GNshiul; (ifjNuhGNshhpf; mkpyk;)","tpyf;fspg;G"
"","2811.12","Ijurd; iridl;L (IjNuhirdpf; mkpyk;)","tpyf;fspg;G"
"","","gpw cNyhfky;yhjdtw;wpd; mNrjd ,urhad xl;rp[d; Nrh;itfs; :",""
"","2811.29","gpw:",""
"","2811.29.20","fe;jtPnuhl;irl;","tpyf;fspg;G"
"28.12","","cNyhfky;yhjtw;wpd; viyl;LfSk;> viyl;L xl;irl;LfSk;.",""
"","","FNshiwl;Lfs; kw;Wk; FNshiwl; xf;irl;Lfs;:",""
"","2812.19","gpw","tpyf;fspg;G"
"","2812.90","gpw","tpyf;fspg;G"
"28.13","","cNyhfky;yhjtw;wpd; ry;igl;Lf;fs;: th;j;jf nghRguR",""
"","","ry;igl;Lfs;.",""
"","2813.10","fhh;gd; ,Ury;igl;Lfs;","tpyf;fspg;G"
"28.15","","Nrhbak;  Ijnuhl;irl;  (vhpNrhlh)  nghw;whrpak;  Ijnuhl;irl;",""
"","","(vhpnghw;whR): Nrhbak; my;yJ nghw;whrpaj;jpd; gunthl;irl;Lfs;.",""
"","2815.30","Nrhbak; gutnthl;irl;L my;yJ nghw;whrpak; gunthl;irl;L","tpyf;fspg;G"
