"I
.","II.","III.","IV."
",
.
g
.
jiyg;G",",
.
K
.
FwpaPL","t
p
guk;","rYif"
"","","","t
p
f
p
jk;"
"54.04","","njhGj;j jdp ,iofshd 67 nlrpnuf;rpid my;yJ Nkw;gl;litAk;","tpyf;fspg;G"
"","","FWf;F ntl;L Kfj;jpd; msT 1 kp. kPw;wUf;F Nkw;glhj mstpidAk;",""
"","","nfhz;bUg;git  Jz;Lfs;  my;yJ  mit  Nghd;w  cjhuzkhf",""
"","","nraw;if    itf;Nfhs;  nraw;if  Jzpg;nghUl;fspd;  5  kp.kPw;wh;",""
"","","mfyq;fSf;F Nkw;glhj mstpidf; nfhz;bUg;git",""
"54.06","5406.00","kdpjuhy; nra;ag;ngw;w ,io E}y;fs; (ijay;E}y; jtph;e;jit)> rpy;yiw","tpyf;fspg;G"
"","","tpahghuj;jpw;nfd tplg;gl;lit.",""
"54.07","","njhFj;j E}y;fspshyhd nea;ag;ngw;w ,io E}y;fs; jtph;e;jit>","tpyf;fspg;G"
"","","rpy;yiw tpahguj;jpw;nfd tplg;gl;lit",""
"54.08","","jiyg;gpyf;fk; 5405 fPo;tUk; nghUl;fs; %yk; nea;ag;gl;l Jzpfs;","tpyf;fspg;G"
"","","cl;gl;l nraw;if ,io E}yhy; nea;j Jzpfs;",""
"55.01","","njhFf;fg;gl;l gpd;Djw;fhd ,io","tpyf;fspg;G"
"55.02","","njhFf;fg;gl;l gpd;Djw;fhd ,io","tpyf;fspg;G"
"55.03","","njhFg;G ,io ehh;fs; > rpf;fw;wjhf rPtg;glhj my;yJ NtW tpjkhf","tpyf;fspg;G"
"","","E}w;gjw;F jahupf;fg;glhjity.",""
"55.04","","nraw;if ,io ehh;fs; rpf;fw;wjhf rPtg;glhj my;yJ NtW tpjkhf","tpyf;fspg;G"
"","","E}w;gjw;F jahupf;fg;glhjit",""
"55.06","","rpf;nfLf;fg;glhj rPtg;glhj  my;yJ NtW tpjkhf E}w;gjw;Fj;","tpyf;fspg;G"
"","","jahupf;fg;gl;l nraw;if ,io ehh;fs;",""
"55.07","","rpf;nfLf;fg;glhj rPtg;glhj  my;yJ NtW tpjkhf E}w;gjw;Fj;","tpyf;fspg;G"
"","","jahupf;fg;gl;l nraw;if ,io ehh;fs;",""
"55.09","","rpy;yiwf;F tplg;glhj  nraw;if ,io ehh;fspd; E}y; ijay; E}y;","tpyf;fspg;G"
"","","jtph;e;jit",""
"55.10","","rpy;yiwf;F  tpw;gidf;F tplg;glhj  nraw;if ,io ehh;fspd; E}y;","tpyf;fspg;G"
"","","ijay; E}y; jtph;e;jit",""
"55.11","","rpy;yiw tpw;gidf;F tplg;gl;l kdpjh;fshy; nra;ag;gl;l ,io","tpyf;fspg;G"
"","","ehh;fshyhd E}y; ijay; E}y; jtph;e;jit",""
