"I
.","II.","","III.","IV."
",
.
g
.
 
jiyg;G",",
.
K",".","t
p
guk;","rYif"
"","FwpaPL","","","t
p
f
p
jk;"
"","3105.59","","gpw","7.5%"
"","3105.60","","nghRguR> nghw;whrpak; Mfpa ,uz;L tskhf;fp %yq;fisf; nfhz;l","7.5%"
"","","","fdpg;nghUs; my;yJ ,urhad tskhf;fpfs;.",""
"","3105.90","","gpw","7.5%"
"44.03","","","fuLKulhd  kuk;>  gl;il  my;yJ  cupak;  cup;f;fg;gl;lJ  my;yJ",""
"","","","cupf;fg;glhjJ my;yJ gUkl;lhf rJukhf;fg;gl;lJ",""
"","","","epwg;g{r;R> rhag; nghUl;fs;> fPnyz;nza;(fpwpNahNrhw;) my;yJ gpw",""
"","","","Ngzpf;fhg;Gg; nghUl;fSld; gupfupf;fg;gl;lit:",""
"","4403.11","","$k;Gj; jhtuq;fisf; nfhz;lit","7.5%"
"","4403.12","","$k;Gj; jhtuq;fisf; nfhz;buhj","7.5%"
"","","","gpw> $k;Gj; jhtuq;fisf; nfhz;lit",""
"","4403.21","","igd; vDk; $k;Gj; jhtuj;jpdJ(gPd]; ,d)> VNjDk; FWf;Fg; gFjp","7.5%"
"","","","gUkdhdJ 15 nr.kP my;yJ mjw;F Nkw;gl;litfsJ",""
"","4403.22","","igd; vDk; $k;Gj; jhtuj;jpdJ(gPd]; ,d)> gpw","7.5%"
"","4403.23","","igau; vDk; $k;Gj; jhtuj;jpdJ(vg;y]; ,d)> ];GW}]; vDk; $k;Gj;","7.5%"
"","","","jhtuj;jpdJ(igrP ,d) VNjDk; FWf;Fg; gFjp gUkdhdJ 15 nr.kP",""
"","","","my;yJ mjw;F Nkw;gl;litfsJ",""
"","4403.24","","igau; vDk; $k;Gj; jhtuj;jpdJ(vg;y]; ,d)> ];GW}]; vDk; $k;Gj;","7.5%"
"","","","jhtuj;jpdJ(igrP ,d)> gpw",""
"","4403.25","","gpw> VNjDk; FWf;Fg; gFjp gUkdhdJ 15 nr.kP my;yJ mjw;F","7.5%"
"","","","Nkw;gl;litfsJ",""
"","4403.26","","gpw","7.5%"
"","","","gpw> ntg;gkz;ly fhLfspypyhditfsJ:",""
"","4403.41","","¸Îõ HÅôÒ ‘¦ÁÈýE’ ¦ÁýHÅôÒ ‘¦ÁÈýE’Ôõ ‘¦ÁÈýE ¸¡¦¸Ç’×õ","7.5%"
"","4403.49","","gpw","7.5%"
"","","","gpw:",""
"","4403.91","","‘Xì’ , ÉÐ (‘Ì§Å÷¸Š’  É)","7.5%"
"","4403.93","","Gq;f kuj;jpdJ(gf]; ,d)>VNjDk; FWf;Fg; gFjp gUkdhdJ 15 nr.kP","7.5%"
"","","","my;yJ mjw;F Nkw;gl;litfsJ",""
"","4403.94","","Gq;f kuj;jpdJ(gf]; ,d)>gpw","7.5%"
"","4403.95","","g
{u;r;r kuj;jpdJ(ngJyh ,d)>VNjDk; FWf;Fg; gFjp gUkdhdJ 15","7.5%"
"","","","nr.kP my;yJ mjw;F Nkw;gl;litfsJ",""
"","4403.96","","g
{u;r;r kuj;jpdJ(ngJyh ,d)>gpw","7.5%"
"","4403.97","","nel;bypq;f> fhl;luR kutifapdJ (nghgpAy]; ,d)","7.5%"
"","4403.98","","fw;g{uj;ijy kuq;fsJ (Afhiyg;l]; ,d)","7.5%"
"","4403.99","","gpw","7.5%"
"84.09","","","jiyg;G 84.07 my;yJ 84.08,d; fPo; tUk; ,ae;jpuq;fSf;F  Vfkhf",""
"","","","my;yJ gpujhdkhf cgNahfpg;gjw;Fg; nghUj;jkhd ghfq;fs;.",""
"","","","gpw:",""
"","8409.99","","gpw","7.5%"
"84.13","","","jputk;  ,iwf;Fk;  ,ae;jpuq;fs;>  msTNfhy;  fUtpAld;",""
"","","","nghUj;jg;gl;lit  my;yJ  nghUj;jg;glhjit  :  jputj;jpidf;",""
"","","","nfhz;l ghuk; J}f;fpfs;",""
