"","","","","of the
Accounts  of
of  the
of the",""
"","","","","Government
Activities  of the
Government
Government",""
"","","","","Government",""
"","","","","Rs.
Rs.
Rs.
Rs.",""
"","173","Co-operative  Employees","","",""
"","","Commission","30201 Advances  to  Public  Officers","1,800,000
  300,000
6,000,000
—",""
"","174","Department  of  Textile  Industries","30301 Advances  to  Public  Officers","6,000,000
3,200,000
30,000,000
—",""
"","175","Department  of  Meteorology","30401 Advances  to  Public  Officers","12,000,000
  8,000,000
  70,000,000
—",""
"","176","","Department  of  Sri  Lanka  Railways 30601 Advances  to  Public  Officers","800,000,000
400,000,000
1,800,000,000
—",""
"5","","","","",""
"","177","Department  of  Sri  Lanka","","",""
"","","Railways","30602 Railway  Stores  Advance","","Appropriation  (Amendment)"
"","","","Account","2,000,000,000     1,800,000,000   9,135,000,000   1,500,000,000",""
"","178","Department  of  Motor  Traffic","30701 Advances  to  Public  Officers","35,000,000
22,000,000 155,000,000
—",""
"10","179","Department  of  Posts","30801 Advances  to  Public  Officers","840,000,000
735,000,000
2,400,000,000
—",""
"","180","Department  of  Buildings","30901 Advances  to  Public  Officers","26,000,000
14,000,000
90,000,000
—",""
"","181","Government  Factory","31001 Advances  to  Public  Officers","33,000,000
27,000,000 125,000,000
—",""
"","182","Government  Factory","31002 Government  Factory","",""
"","","","Stores  Advance  Account","120,000,000
40,000,000
40,000,000
       120,000,000",""
"15","183","Government  Factory","31003 Government  Factory  Work","",""
"","","","Done  Advance  Account","350,000,000
360,000,000
190,000,000
1,000,000",""
"","184","Department  of  National  Physical","","",""
"","","Planning","31101 Advances  to  Public  Officers","15,000,000
8,500,000
50,000,000
—",""
"","185","Department  of  Civil  Security","32001 Advances  to  Public  Officers","600,000,000
325,000,000
650,000,000
—",""
