"","2 2","Delimitation  Commission","02501 Advances  to  Public  Officers","1,500,000","250,000
4,000,000","—"
"","2 3","State  Minister  of  National","","","",""
"","","Unity  &  Co-existence","02701 Advances  to  Public  Officers","3,500,000","1,000,000
10,000,000","—"
"","2 4","Minister  of  Buddha  Sasana","10101 Advances  to  Public  Officers","9,000,000","3,500,000
28,000,000","—"
"5","2 5","Minister  of  Finance  and  Mass","","","",""
"","","Media","10201 Advances  to  Public  Officers","35,000,000","15,500,000 125,000,000","—"
"","2 6","Minister  of  Defence","","10301 Advances  to  Public  Officers 100,000,000","50,000,000 275,000,000","—"
"","2 7","Minister  of  National  Policies","","","",""
"","","and    Economic  Affairs","10401 Advances  to  Public  Officers","35,000,000","11,000,000 100,000,000","—"
"10","28","Minister  of  Post,  Postal  services","","","",""
"","","and    Muslim  Religious  Affairs","10801 Advances  to  Public  Officers","7,500,000","2,200,000
60,000,000","—"
"","2 9","Minister  of  Justice  and","","","",""
"","","Prison  Reforms","11001 Advances  to  Public  Officers","30,000,000","9,500,000
95,000,000","—"
"","3 0","Minister  of  Health,    Nutrition","","","",""
"","","","","","",""
"15","","and  Indigenous  Medicine","11101 Advances  to  Public  Officers","1,600,000,000","1,120,000,000
2,900,000,000","—"
"","3 1","Minister  of  Foreign  Affairs","11201 Advances  to  Public  Officers","40,000,000","30,000,000 130,000,000","—"
"","3 2","Minister  of  Transport  and  Civil","","","",""
"","","Aviation","11401 Advances  to  Public  Officers","11,000,000","6,000,000
45,000,000","—"
"","3 3","Minister  of  Highways  and","","","",""
"20","","Road  Development","11701 Advances  to  Public  Officers","27,000,000","10,000,000
65,000,000","—"
"","3 4","Minister  of    Agriculture","11801 Advances  to  Public  Officers","54,000,000","21,000,000 118,000,000","—"
